UniProt_ID,clean_global,clean_PICNIC_score,clean_PICNIC_GO_score,clean_PSAP_score,clean_PSPHunter_prob,clean_PSPire_score,clean_FuzDrop_pLLPS,clean_catGRANULE_score,clean_PLAAC_NLLR,clean_PScore_score,clean_ESpritz_score,clean_SEG_score,clean_DeepPhase_score,clean_SaPS_score,clean_PdPS_score,clean_PDL_score,clean_RY_score,clean_ParSe2_score,clean_LLPhyScore_score
P61073,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True
Q9UHQ9,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P13498,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q53TN4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P08574,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q6UW02,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P61803,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q14118,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
Q5H9S7,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P81605,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P39656,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q08345,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True
Q96HY6,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8TBM8,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q96DA6,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P27487,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P42658,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P35462,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q08554,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q02413,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P01133,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
