stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000258484,9606.ENSP00000311827,EPC2,MSL2,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000341805,9606.ENSP00000419765,PHF10,BRD9,9606,0.891,0,0,0,0,0.326,0.54,0.677
9606.ENSP00000356505,9606.ENSP00000380450,NCF2,NOXO1,9606,0.995,0,0,0,0,0.0,0.72,0.983
9606.ENSP00000460475,9606.ENSP00000494040,NLRP1,DDX3X,9606,0.721,0,0,0,0,0.0,0.72,0.046
9606.ENSP00000259254,9606.ENSP00000345259,GYPC,EPB41,9606,0.987,0,0,0,0,0.322,0.0,0.982
9606.ENSP00000354927,9606.ENSP00000370503,MAP3K3,CCM2,9606,0.992,0,0,0,0,0.961,0.0,0.818
9606.ENSP00000294189,9606.ENSP00000431240,RPL29,RPLP2,9606,0.914,0,0,0,0,0.914,0.0,0.0
9606.ENSP00000314067,9606.ENSP00000378338,PAK2,GIT1,9606,0.786,0,0,0,0,0.642,0.4,0.085
9606.ENSP00000361363,9606.ENSP00000365851,DMAP1,BMI1,9606,0.788,0,0,0,0,0.0,0.0,0.788
9606.ENSP00000359765,9606.ENSP00000403954,ADGRL2,TENM1,9606,0.798,0,0,0,0,0.749,0.0,0.228
9606.ENSP00000444810,9606.ENSP00000482075,FKBP5,PTGES3,9606,0.983,0,0,0,0,0.859,0.8,0.45
9606.ENSP00000303709,9606.ENSP00000473623,UBE2E1,UBE2E3,9606,0.957,0,0,0,0,0.0,0.9,0.597
9606.ENSP00000172229,9606.ENSP00000284981,NGFR,APP,9606,0.837,0,0,0,0,0.483,0.0,0.698
9606.ENSP00000276062,9606.ENSP00000299166,NDUFB11,NDUFB8,9606,0.998,0,0,0,0,0.937,0.967,0.462
9606.ENSP00000347716,9606.ENSP00000378181,DPF1,BRD7,9606,0.757,0,0,0,0,0.615,0.0,0.395
9606.ENSP00000361180,9606.ENSP00000378181,GTF3C5,BRD7,9606,0.717,0,0,0,0,0.717,0.0,0.0
9606.ENSP00000225916,9606.ENSP00000332194,KAT2A,H2AC20,9606,0.716,0,0,0,0,0.457,0.5,0.0
9606.ENSP00000265562,9606.ENSP00000339186,PTPN23,GRAP2,9606,0.722,0,0,0,0,0.706,0.0,0.093
9606.ENSP00000320416,9606.ENSP00000324810,VPS37D,MVB12A,9606,0.933,0,0,0,0,0.232,0.9,0.204
9606.ENSP00000332194,9606.ENSP00000438553,H2AC20,H2AJ,9606,0.874,0,0,0,0,0.8,0.4,0.0
9606.ENSP00000369162,9606.ENSP00000431822,RIOK1,FAU,9606,0.916,0,0,0,0,0.916,0.0,0.0
9606.ENSP00000249373,9606.ENSP00000361266,SMO,PTCH2,9606,0.85,0,0,0,0,0.292,0.7,0.352
9606.ENSP00000256441,9606.ENSP00000342676,MRPS36,AURKAIP1,9606,0.806,0,0,0,0,0.073,0.8,0.0
9606.ENSP00000265245,9606.ENSP00000310042,LSG1,ZNF622,9606,0.872,0,0,0,0,0.872,0.0,0.0
9606.ENSP00000226207,9606.ENSP00000347507,MYH1,MYH7,9606,0.9,0,0,0,0,0.0,0.9,0.0
