uniprot_id,pmid,class_,primary_name,organism
O60885,33597515,PS-self,BRD4,Homo sapiens
O60885,38784009,PS-other,BRD4,Homo sapiens
O60885,39557835,PS-other,BRD4,Homo sapiens
O60885,34375583,PS-other,BRD4,Homo sapiens
O60885,34357401,PS-other,BRD4,Homo sapiens
O60885,32203489,PS-self,BRD4,Homo sapiens
Q9ESU6,34605568,PS-self,Brd4,Mus musculus
O60885,33333019,PS-other,BRD4,Homo sapiens
O60885,31543265,PS-other,BRD4,Homo sapiens
Q07457,32214243,PS-other,BRE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q59LY1,38091321,PS-other,BRG1,Candida albicans (strain SC5314 / ATCC MYA-2876)
Q9BX63,38578830,PS-other,BRIP1,Homo sapiens
F4HXZ1,38898014,PS-self,BRO1,Arabidopsis thaliana
O02374,35325593,PS-other,bru1,Drosophila melanogaster
H0WFA5,30086300,PS-other,buc,Danio rerio
H0WFA5,35065906,PS-other,buc,Danio rerio
H0WFA5,27471966,PS-other,buc,Danio rerio
H0WFA5,39793567,PS-other,buc,Danio rerio
H0WFA5,36207377,PS-other,buc,Danio rerio
A8DZ09,37872148,PS-self,BuGZ,Drosophila melanogaster
P98086,38942014,PS-other,C1qa,Mus musculus
P02745,38942014,PS-other,C1QA,Homo sapiens
A0A854QGF5,37217653,PS-self,C361_02558,Cryptococcus neoformans var. grubii Tu259-1
Q6ZUJ4,38175751,PS-other,C3orf62,Homo sapiens
Q96LT7,37471224,PS-other,C9orf72,Homo sapiens
Q96LT7,32730793,PS-self,C9orf72,Homo sapiens
Q96LT7,35325178,PS-other,C9orf72,Homo sapiens
A0A290MZ23,37815915,PS-other,CA606_11385,Caulobacter vibrioides
O55017,30661983,PS-other,Cacna1b,Mus musculus
O55017,33202250,PS-other,Cacna1b,Mus musculus
O88602,33927400,PS-other,Cacng2,Mus musculus
O88602,31492534,PS-other,Cacng2,Mus musculus
J7M3T1,36067153,PS-other,CAHS3,Ramazzottius varieornatus
Q13137,39420095,PS-other,CALCOCO2,Homo sapiens
P11275,38440150,PS-other,Camk2a,Rattus norvegicus
P11275,36827181,PS-other,Camk2a,Rattus norvegicus
P11275,33235361,PS-other,Camk2a,Rattus norvegicus
Q13554,39742665,PS-other,CAMK2B,Homo sapiens
Q96RR4,37774095,PS-other,CAMKK2,Homo sapiens
Q8NCB2,38255303,PS-other,CAMKV,Homo sapiens
Q8C1B1,35762204,PS-self,Camsap2,Mus musculus
A0A0D2X5H4,37295429,PS-other,CAOG_007908,Capsaspora owczarzaki (strain ATCC 30864)
Q14444,40028898,PS-self,CAPRIN1,Homo sapiens
Q14444,36279435,PS-other,CAPRIN1,Homo sapiens
Q14444,39172789,PS-self,CAPRIN1,Homo sapiens
Q14444,34400613,PS-other,CAPRIN1,Homo sapiens
Q14444,32302570,PS-other,CAPRIN1,Homo sapiens
Q14444,38012130,PS-other,CAPRIN1,Homo sapiens
Q14444,32302572,PS-other,CAPRIN1,Homo sapiens
Q14444,35072355,PS-self,CAPRIN1,Homo sapiens
Q14444,38626504,PS-other,CAPRIN1,Homo sapiens
Q14444,34074792,PS-self,CAPRIN1,Homo sapiens
Q14444,39079611,PS-other,CAPRIN1,Homo sapiens
Q14444,31439799,PS-other,CAPRIN1,Homo sapiens
Q9XW17,24176641,PS-other,car-1,Caenorhabditis elegans
Q9XW17,35801939,PS-other,car-1,Caenorhabditis elegans
Q9XW17,39167497,PS-other,car-1,Caenorhabditis elegans
Q9XW17,37505984,PS-other,car-1,Caenorhabditis elegans
Q9XW17,37703874,PS-other,car-1,Caenorhabditis elegans
Q9H257,35727133,PS-other,CARD9,Homo sapiens
J7RUA5,34588591,PS-other,cas9,Staphylococcus aureus
O14936,36137748,PS-other,CASK,Homo sapiens
P42574,37119817,PS-other,CASP3,Homo sapiens
P55210,37119817,PS-other,CASP7,Homo sapiens
Q03135,33568658,PS-other,CAV1,Homo sapiens
O54724,33568658,PS-self,Cavin1,Mus musculus
P00880,30498228,PS-other,cbbL,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
O85040,38971311,PS-other,cbbL,Halothiobacillus neapolitanus (strain ATCC 23641 / c2)
P00879,32979320,PS-other,cbbL,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
O85040,32123388,PS-other,cbbL,Halothiobacillus neapolitanus (strain ATCC 23641 / c2)
Q31NB3,34759380,PS-other,cbbL,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805)
P0C916,30498228,PS-other,cbbL1,Acidithiobacillus ferrooxidans
Q31NB2,30675061,PS-other,cbbS,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805)
P33322,33836082,PS-other,CBF5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P83916,32101700,PS-other,CBX1,Homo sapiens
P83916,33660589,PS-other,CBX1,Homo sapiens
P83916,31543422,PS-other,CBX1,Homo sapiens
P83916,37398008,PS-other,CBX1,Homo sapiens
P30658,37553262,PS-other,Cbx2,Mus musculus
Q14781,37756159,PS-self,CBX2,Homo sapiens
Q14781,31171700,PS-self,CBX2,Homo sapiens
Q14781,34620850,PS-other,CBX2,Homo sapiens
P30658,34637753,PS-self,Cbx2,Mus musculus
P30658,30514760,PS-self,Cbx2,Mus musculus
Q14781,33053359,PS-self,CBX2,Homo sapiens
P30658,33053359,PS-other,Cbx2,Mus musculus
Q13185,33660589,PS-self,CBX3,Homo sapiens
Q13185,28636597,PS-other,CBX3,Homo sapiens
Q13185,32101700,PS-other,CBX3,Homo sapiens
Q13185,40070663,PS-other,CBX3,Homo sapiens
Q13185,33661100,PS-other,CBX3,Homo sapiens
Q13185,33743195,PS-other,CBX3,Homo sapiens
Q13185,37398008,PS-self,CBX3,Homo sapiens
Q13185,31543422,PS-other,CBX3,Homo sapiens
O00257,37756159,PS-self,CBX4,Homo sapiens
O00257,35642598,PS-self,CBX4,Homo sapiens
Q61686,32101700,PS-other,Cbx5,Mus musculus
P45973,32101700,PS-other,CBX5,Homo sapiens
P45973,33660589,PS-self,CBX5,Homo sapiens
P45973,40138713,PS-self,CBX5,Homo sapiens
Q61686,40138713,PS-other,Cbx5,Mus musculus
P45973,28636604,PS-other,CBX5,Homo sapiens
P45973,38429335,PS-other,CBX5,Homo sapiens
Q61686,32698189,PS-other,Cbx5,Mus musculus
P45973,32698189,PS-self,CBX5,Homo sapiens
Q61686,33326747,PS-other,Cbx5,Mus musculus
P45973,33661100,PS-other,CBX5,Homo sapiens
P45973,39192031,PS-self,CBX5,Homo sapiens
Q61686,39192031,PS-other,Cbx5,Mus musculus
P45973,31481798,PS-other,CBX5,Homo sapiens
P45973,31952807,PS-other,CBX5,Homo sapiens
