UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane
P35637,RNA-binding protein FUS,FUS TLS,DNA damage foci; Mesh-like condensate; Neuronal granule; Nuclear pore complex; Nuclear speckle; Nucleolus; Oskar granule; Paraspeckle; Stress granule; Transcriptional condensate,LLPSDB+PhasePDB,False
Q13148,TAR DNA-binding protein 43,TARDBP TDP43,Anisosome; Cajal body; Inclusion body; Nuclear body; Nuclear speckle; Nucleolus; Paraspeckle; PML nuclear body; RNP transport granule; Stress granule; TDP-43 nuclear condensate,LLPSDB+PhasePDB,False
Q13283,Ras GTPase-activating protein-binding protein 1,G3BP1 G3BP,Neuronal granule; P-body; SARS-CoV-2 N condensate; Stress granule,PhasePDB,False
P10636,Microtubule-associated protein tau,MAPT MAPTL MTBT1 TAU,Nuclear pore complex; Nuclear speckle; Stress granule; Tau condensate,PhasePDB,False
P09651,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1 HNRPA1,Nuclear body; Nuclear speckle; Stress granule,PhasePDB,False
P06748,Nucleophosmin,NPM1 NPM,Nucleolus; ViPR body,LLPSDB+PhasePDB,False
Q13501,Sequestosome-1,SQSTM1 ORCA OSIL,Nucleolus; p62 cluster; PML nuclear body; Stress granule,LLPSDB+PhasePDB,False
P37840,Alpha-synuclein,SNCA NACP PARK1,Inclusion body; P-body; Postsynaptic density; Stress granule; Synapsin condensate; α-synuclein condensates,PhasePDB,False
O60885,Bromodomain-containing protein 4,BRD4 HUNK1,PML nuclear body; Transcriptional condensate,LLPSDB+PhasePDB,False
P45973,Chromobox protein homolog 5,CBX5 HP1A,Heterochromatin; Nucleolus; Stress granule,LLPSDB+PhasePDB,False
P31483,Cytotoxic granule associated RNA binding protein TIA1,TIA1,P-body; Stress granule,LLPSDB+PhasePDB,False
P46937,Transcriptional coactivator YAP1,YAP1 YAP65,Receptor cluster; Transcriptional condensate,PhasePDB,False
Q01844,RNA-binding protein EWS,EWSR1 EWS,DNA damage foci,LLPSDB+PhasePDB,False
Q15648,Mediator of RNA polymerase II transcription subunit 1,MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A,Mediator condensate; Nuclear speckle; Transcriptional condensate,LLPSDB+PhasePDB,False
Q92804,TATA-binding protein-associated factor 2N,TAF15 RBP56 TAF2N,DNA damage foci; Nucleolus; Transcriptional condensate,PhasePDB,False
Q9NQI0,Probable ATP-dependent RNA helicase DDX4,DDX4 VASA,Nuage; P granule,LLPSDB+PhasePDB,False
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1 HNRPA2B1,Nuclear speckle; Stress granule,LLPSDB+PhasePDB,False
P24928,DNA-directed RNA polymerase II subunit RPB1,POLR2A POLR2,Nuclear speckle; Splicesome; Transcriptional condensate,LLPSDB+PhasePDB,False
P52948,Nuclear pore complex protein Nup98-Nup96,NUP98 ADAR2,Cytoplasmic Nucleoporin Granule; Nuclear body; Nuclear pore complex; Transcriptional condensate,PhasePDB,False
P04637,Cellular tumor antigen p53,TP53 P53,DNA damage foci; Nucleolus; Stress granule; Transcriptional condensate,LLPSDB+PhasePDB,False
Q14444,Caprin-1,CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105,P-body; RNP transport granule; Stress granule,PhasePDB,False
O15169,Axin-1,AXIN1 AXIN,Centrosome; Destruction complex condensate; Wnt signalodroplet,PhasePDB,False
P29590,Protein PML,PML MYL PP8675 RNF71 TRIM19,Nuclear body; PML nuclear body; PML/RARα microspeckle,PhasePDB,False
Q9UHD9,Ubiquilin-2,UBQLN2 N4BP4 PLIC2,Stress granule; UBQLN puncta,LLPSDB+PhasePDB,False
Q9UN86,Ras GTPase-activating protein-binding protein 2,G3BP2 KIAA0660,P-body; Stress granule,PhasePDB,False
P22087,rRNA 2'-O-methyltransferase fibrillarin,FBL FIB1 FLRN,DNA damage foci; Nucleolus; ViPR body,PhasePDB,False
P23246,"Splicing factor, proline- and glutamine-rich",SFPQ PSF,DNA damage foci; Nucleolus; Paraspeckle; Stress granule,PhasePDB,False
Q09472,Histone acetyltransferase p300,EP300 P300,enhancer condensate; Nuclear body; Transcriptional condensate,PhasePDB,False
Q12888,TP53-binding protein 1,TP53BP1,DNA damage foci; Heterochromatin; Nucleolus,PhasePDB,False
Q15233,Non-POU domain-containing octamer-binding protein,NONO NRB54,Nucleolus; Paraspeckle; Stress granule,PhasePDB,False
Q8N884,Cyclic GMP-AMP synthase,CGAS C6orf150 MB21D1,cGAS-DNA complex; Stress granule,LLPSDB+PhasePDB,False
O00571,ATP-dependent RNA helicase DDX3X,DDX3X DBX DDX3,DNA damage foci; Stress granule,LLPSDB+PhasePDB,False
O14641,Segment polarity protein dishevelled homolog DVL-2,DVL2,Centrosome; Wnt signalodroplet,PhasePDB,False
O60563,Cyclin-T1,CCNT1,DNA damage foci; Elongation complex; Nuclear speckle; Transcriptional condensate,LLPSDB+PhasePDB,False
Q9GZV5,WW domain-containing transcription regulator protein 1,WWTR1 TAZ,Receptor cluster; Transcriptional condensate,PhasePDB,False
O43561,Linker for activation of T-cells family member 1,LAT,Receptor cluster,PhasePDB,True
P10275,Androgen receptor,AR DHTR NR3C4,enhancer condensate; Transcriptional condensate,LLPSDB+PhasePDB,False
Q06787,Fragile X messenger ribonucleoprotein 1,FMR1,P-body; Stress granule,LLPSDB+PhasePDB,False
Q13185,Chromobox protein homolog 3,CBX3,Heterochromatin,PhasePDB,False
O00401,Actin nucleation-promoting factor WASL,WASL,Cortical condensate; Receptor cluster; Synapsin condensate,PhasePDB,False
P17600,Synapsin-1,SYN1,Synapsin condensate,LLPSDB+PhasePDB,False
P50995,Annexin A11,ANXA11 ANX11,Stress granule,PhasePDB,False
P67809,Y-box-binding protein 1,YBX1 NSEP1 YB1,Nuclear speckle; P-body; Stress granule,PhasePDB,False
Q16630,Cleavage and polyadenylation specificity factor subunit 6,CPSF6 CFIM68,Nuclear speckle; Paraspeckle,PhasePDB,False
Q9BYJ9,YTH domain-containing family protein 1,YTHDF1 C20orf21,P-body; Stress granule,PhasePDB,False
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1,IGF2BP1 CRDBP VICKZ1 ZBP1,Stress granule,PhasePDB,False
Q9Y5A9,YTH domain-containing family protein 2,YTHDF2 HGRG8,P-body; Stress granule,PhasePDB,False
P00441,Superoxide dismutase [Cu-Zn],SOD1,Stress granule,PhasePDB,False
P04156,Major prion protein,PRNP ALTPRP PRIP PRP,"Cell membrane; Lipid-anchor, GPI-anchor; Golgi apparatus.",LLPSDB+PhasePDB,False
P16333,SH2/SH3 adapter protein NCK1,NCK1 NCK,PML nuclear body; Postsynaptic density; Receptor cluster,LLPSDB+PhasePDB,False
P35222,Catenin beta-1,CTNNB1 CTNNB,Centrosome; Destruction complex condensate; Transcriptional condensate,PhasePDB,False
P42858,Huntingtin,HTT HD IT15,Htt inclusion; Inclusion body; Stress granule,PhasePDB,False
P62993,Growth factor receptor-bound protein 2,GRB2 ASH,Nucleus; Cytoplasm; Endosome; Golgi apparatus.,LLPSDB+PhasePDB,False
Q00613,Heat shock factor protein 1,HSF1 HSTF1,Nuclear stress body; Transcriptional condensate,PhasePDB,False
Q01130,Serine/arginine-rich splicing factor 2,SRSF2 SFRS2,Nuclear speckle,PhasePDB,False
Q8WXF1,Paraspeckle component 1,PSPC1 PSP1,Paraspeckle; Stress granule,LLPSDB+PhasePDB,False
O60500,Nephrin,NPHS1 NPHN,Receptor cluster,LLPSDB+PhasePDB,True
P00533,Epidermal growth factor receptor,EGFR ERBB ERBB1 HER1,,PhasePDB,True
P11940,Polyadenylate-binding protein 1,PABPC1 PAB1 PABP PABP1 PABPC2,Inclusion body; Nuclear speckle; Stress granule,PhasePDB,False
P26196,Probable ATP-dependent RNA helicase DDX6,DDX6 HLR2 RCK,P-body; Stress granule,PhasePDB,False
P46013,Proliferation marker protein Ki-67,MKI67,Nucleolus,PhasePDB,False
P78352,Disks large homolog 4,DLG4 PSD95,Postsynaptic density,PhasePDB,False
Q07889,Son of sevenless homolog 1,SOS1,Receptor cluster,LLPSDB+PhasePDB,False
Q07955,Serine/arginine-rich splicing factor 1,SRSF1 ASF SF2 SF2P33 SFRS1,Centrosome; Nuclear speckle,PhasePDB,False
Q14011,Cold-inducible RNA-binding protein,CIRBP A18HNRNP CIRP,Stress granule,PhasePDB,False
Q14653,Interferon regulatory factor 3,IRF3,Receptor cluster,PhasePDB,False
Q15691,Microtubule-associated protein RP/EB family member 1,MAPRE1,Centrosome,PhasePDB,False
Q7Z739,YTH domain-containing family protein 3,YTHDF3,Stress granule,PhasePDB,False
Q8TDY2,RB1-inducible coiled-coil protein 1,RB1CC1 KIAA0203 RBICC,,PhasePDB,False
Q9UQ35,Serine/arginine repetitive matrix protein 2,SRRM2 KIAA0324 SRL300 SRM300,Nuclear speckle,PhasePDB,False
O14497,AT-rich interactive domain-containing protein 1A,ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,Transcriptional condensate,PhasePDB,False
O43781,Dual specificity tyrosine-phosphorylation-regulated kinase 3,DYRK3,Centrosome; Nuclear speckle; Spindle apparatus; Stress granule,PhasePDB,False
P03372,Estrogen receptor,ESR1 ESR NR3A1,Nuclear speckle; Transcriptional condensate,LLPSDB+PhasePDB,False
P09874,Poly [ADP-ribose] polymerase 1,PARP1 ADPRT PPOL,DNA damage foci; Transcriptional condensate,PhasePDB,False
P17931,Galectin-3,LGALS3 MAC2,,PhasePDB,False
P20591,Interferon-induced GTP-binding protein Mx1,MX1,,PhasePDB,False
P25490,Transcriptional repressor protein YY1,YY1 INO80S,Transcriptional condensate,PhasePDB,False
P51114,RNA-binding protein FXR1,FXR1,FXR1 network; Nuclear pore complex; Stress granule,PhasePDB,False
P51608,Methyl-CpG-binding protein 2,MECP2,Heterochromatin; Nucleolus,PhasePDB,False
P54132,RecQ-like DNA helicase BLM,BLM RECQ2 RECQL3,Assemblysome; PML nuclear body; Stress granule,PhasePDB,False
P61978,Heterogeneous nuclear ribonucleoprotein K,HNRNPK HNRPK,Nuclear stress body; Paraspeckle; Stress granule,PhasePDB,False
P62805,Histone H4,H4C1 H4/A H4FA HIST1H4A,Inclusion body,PhasePDB,False
P83916,Chromobox protein homolog 1,CBX1 CBX,Heterochromatin,LLPSDB+PhasePDB,False
Q01085,Nucleolysin TIAR,TIAL1,Stress granule,LLPSDB+PhasePDB,False
Q07157,Tight junction protein 1,TJP1 ZO1,,PhasePDB,False
Q14596,Next to BRCA1 gene 1 protein,NBR1 1A13B KIAA0049 M17S2,p62 cluster,PhasePDB,False
Q14781,Chromobox protein homolog 2,CBX2,Heterochromatin; Nuclear body; Polycomb body,LLPSDB+PhasePDB,False
Q15532,Protein SSXT,SS18 SSXT SYT,,PhasePDB,False
Q15561,Transcriptional enhancer factor TEF-3,TEAD4 RTEF1 TCF13L1 TEF3,Transcriptional condensate,PhasePDB,False
Q16198,,EWS-Fli1,enhancer condensate; Transcriptional condensate,PhasePDB,False
Q16637,Survival motor neuron protein,SMN1 SMN SMNT,Cajal body; Gems; Neuronal granule,PhasePDB,False
Q86U44,N(6)-adenosine-methyltransferase catalytic subunit METTL3,METTL3 MTA70,Nuclear speckle; Nucleolus,PhasePDB,False
Q8IYB3,Serine/arginine repetitive matrix protein 1,SRRM1 SRM160,Nuclear speckle,PhasePDB,False
Q8NFD5,AT-rich interactive domain-containing protein 1B,ARID1B BAF250B DAN15 KIAA1235 OSA2,,PhasePDB,False
Q99700,Ataxin-2,ATXN2 ATX2 SCA2 TNRC13,Neuronal granule; P-body; RNP granules; Stress granule,PhasePDB,False
Q9BYB0,SH3 and multiple ankyrin repeat domains protein 3,SHANK3 KIAA1650 PROSAP2 PSAP2,Postsynaptic density,PhasePDB,False
Q9NR30,Nucleolar RNA helicase 2,DDX21,Nuclear speckle; Nucleolus; RNA-helicase condensates,PhasePDB,False
Q9UER7,Death domain-associated protein 6,DAXX BING2 DAP6,Nuclear speckle; p62 cluster; PML nuclear body,LLPSDB+PhasePDB,False
Q9UKV8,Protein argonaute-2,AGO2 EIF2C2,miRISC; P-body; Stress granule,PhasePDB,False
Q9Y6M1,Insulin-like growth factor 2 mRNA-binding protein 2,IGF2BP2 IMP2 VICKZ2,Stress granule,PhasePDB,False
J7MA22,Tyrosine-protein kinase receptor,EML4-ALK,,PhasePDB,False
O00444,Serine/threonine-protein kinase PLK4,PLK4 SAK STK18,Centrosome; Pericentriolar matrix,PhasePDB,False
O43670,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207 BUGZ,Centrosome; Nuclear speckle; Spindle apparatus,PhasePDB,False
O43809,Cleavage and polyadenylation specificity factor subunit 5,NUDT21 CFIM25 CPSF25 CPSF5,Nuclear speckle,PhasePDB,False
O43823,A-kinase anchor protein 8,AKAP8 AKAP95,Nuclear speckle; Transcriptional condensate,PhasePDB,False
O60341,Lysine-specific histone demethylase 1A,KDM1A AOF2 KDM1 KIAA0601 LSD1,enhancer condensate,PhasePDB,False
O75683,Surfeit locus protein 6,SURF6 SURF-6,Nucleolus,LLPSDB+PhasePDB,False
O95243,Methyl-CpG-binding domain protein 4,MBD4 MED1,Mediator condensate; Transcriptional condensate,PhasePDB,False
P01106,Myc proto-oncogene protein,MYC BHLHE39,Transcriptional condensate,LLPSDB+PhasePDB,False
P02794,Ferritin heavy chain,FTH1 FTH FTHL6,,PhasePDB,False
P04792,Heat shock protein beta-1,HSPB1 HSP27 HSP28,Stress granule,PhasePDB,False
P08621,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,Nuclear body; Nuclear speckle; Nucleolus,PhasePDB,False
P0DMV8,Heat shock 70 kDa protein 1A,HSPA1A HSP72 HSPA1 HSX70,Anisosome; TDP-43 nuclear condensate,PhasePDB,False
P10412,Histone H1.4,H1-4 H1F4 HIST1H1E,Heterochromatin; Nucleolus,PhasePDB,False
P18583,Protein SON,SON C21orf50 DBP5 KIAA1019 NREBP,Centrosome; Nuclear speckle,PhasePDB,False
P19484,Transcription factor EB,TFEB BHLHE35,Transcriptional condensate,PhasePDB,False
P25054,Adenomatous polyposis coli protein,APC DP2.5,Centrosome; Destruction complex condensate,PhasePDB,False
P35226,Polycomb complex protein BMI-1,BMI1 PCGF4 RNF51,Nuclear body; Polycomb body,PhasePDB,False
P35240,Merlin,NF2 SCH,,PhasePDB,False
P37198,Nuclear pore glycoprotein p62,NUP62,Nuclear pore complex,PhasePDB,False
P43243,Matrin-3,MATR3 KIAA0723,,PhasePDB,False
P48431,Transcription factor SOX-2,SOX2,Nucleolus,LLPSDB+PhasePDB,False
P49715,CCAAT/enhancer-binding protein alpha,CEBPA CEBP,Transcriptional condensate,PhasePDB,False
P50552,Vasodilator-stimulated phosphoprotein,VASP,,PhasePDB,False
P55072,Transitional endoplasmic reticulum ATPase,VCP HEL-220 HEL-S-70,Proteasome containing foci; Stress granule,PhasePDB,False
P55884,Eukaryotic translation initiation factor 3 subunit B,EIF3B EIF3S9,Stress granule,PhasePDB,False
P60008,Putative histone H1.9,H1-9P H1-9 HILS1,Nucleolus,PhasePDB,False
Q04637,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1 EIF4F EIF4G EIF4GI,Inclusion body,PhasePDB,False
Q05086,Ubiquitin-protein ligase E3A,UBE3A E6AP EPVE6AP HPVE6A,Proteasome containing foci,PhasePDB,False
Q06124,Tyrosine-protein phosphatase non-receptor type 11,PTPN11 PTP2C SHPTP2,,PhasePDB,False
Q13772,Nuclear receptor coactivator 4,NCOA4 ARA70 ELE1 RFG,,PhasePDB,False
Q14157,Ubiquitin-associated protein 2-like,UBAP2L KIAA0144 NICE4,Stress granule,PhasePDB,False
Q15554,Telomeric repeat-binding factor 2,TERF2 TRBF2 TRF2,Heterochromatin; PML nuclear body,PhasePDB,False
Q53HL2,Borealin,CDCA8 PESCRG3,,PhasePDB,False
Q7Z434,Mitochondrial antiviral-signaling protein,MAVS IPS1 KIAA1271 VISA,Inclusion body; Receptor cluster,PhasePDB,True
Q86U42,Polyadenylate-binding protein 2,PABPN1 PAB2 PABP2,Nuclear speckle,PhasePDB,False
Q8NC51,SERPINE1 mRNA-binding protein 1,SERBP1 PAIRBP1,Nucleolus; Stress granule; Tau condensate,PhasePDB,False
Q8ND56,Protein LSM14 homolog A,LSM14A C19orf13 FAM61A RAP55 RAP55A,P-body,PhasePDB,False
Q8WWM7,Ataxin-2-like protein,ATXN2L A2D A2LG A2LP A2RP,Stress granule,PhasePDB,False
Q92547,DNA topoisomerase 2-binding protein 1,TOPBP1 KIAA0259,DNA damage foci; Nucleolus,PhasePDB,False
Q96LT7,Guanine nucleotide exchange factor C9orf72,C9orf72 DENND9 DENNL72,Nuclear pore complex; Nuclear speckle; Nucleolus; Stress granule,PhasePDB,False
Q96PK6,RNA-binding protein 14,RBM14 SIP,Paraspeckle,PhasePDB,False
Q96PV0,Ras/Rap GTPase-activating protein SynGAP,SYNGAP1 KIAA1938,Postsynaptic density,PhasePDB,False
Q99873,Protein arginine N-methyltransferase 1,PRMT1 HMT2 HRMT1L2 IR1B4,Stress granule,LLPSDB+PhasePDB,False
Q9H3P2,Negative elongation factor A,NELFA WHSC2,Transcriptional condensate,PhasePDB,False
Q9NPI6,mRNA-decapping enzyme 1A,DCP1A SMIF,P-body,PhasePDB,False
Q9UJW0,Dynactin subunit 4,DCTN4,Inclusion body; p62 cluster; Stress granule,PhasePDB,False
Q9UN81,LINE-1 retrotransposable element ORF1 protein,L1RE1 LRE1,P-body; Stress granule,PhasePDB,False
Q9Y6K9,NF-kappa-B essential modulator,IKBKG FIP3 NEMO,,PhasePDB,False
O00257,E3 SUMO-protein ligase CBX4,CBX4,Nuclear body,PhasePDB,False
O00425,Insulin-like growth factor 2 mRNA-binding protein 3,IGF2BP3 IMP3 KOC1 VICKZ3,Stress granule,PhasePDB,False
O14686,Histone-lysine N-methyltransferase 2D,KMT2D ALR MLL2 MLL4,Transcriptional condensate,PhasePDB,False
O15392,Baculoviral IAP repeat-containing protein 5,BIRC5 API4 IAP4,,PhasePDB,False
O15523,ATP-dependent RNA helicase DDX3Y,DDX3Y DBY,Stress granule,PhasePDB,False
O43245,,p65,Transcriptional condensate,PhasePDB,False
O43463,Histone-lysine N-methyltransferase SUV39H1,SUV39H1 KMT1A SUV39H,Heterochromatin; Nucleolus,PhasePDB,False
O43791,Speckle-type POZ protein,SPOP,Nuclear speckle,LLPSDB+PhasePDB,False
O60832,H/ACA ribonucleoprotein complex subunit DKC1,DKC1 NOLA4,Nucleolus,PhasePDB,False
O75334,Liprin-alpha-2,PPFIA2,Presynaptic active zone condensate,PhasePDB,False
O75385,Serine/threonine-protein kinase ULK1,ULK1 KIAA0722,FIP200 puncta,PhasePDB,False
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1 IRE1,Stress granule,PhasePDB,True
O94986,Centrosomal protein of 152 kDa,CEP152 KIAA0912,Centrosome; Pericentriolar matrix,PhasePDB,False
O95398,Rap guanine nucleotide exchange factor 3,RAPGEF3 CGEF1 EPAC EPAC1,Cajal body; Histone locus body; PML nuclear body; Transcriptional condensate,PhasePDB,False
O95835,Serine/threonine-protein kinase LATS1,LATS1 WARTS,,PhasePDB,False
O96028,Histone-lysine N-methyltransferase NSD2,NSD2 KIAA1090 MMSET TRX5 WHSC1,,PhasePDB,False
P02511,Alpha-crystallin B chain,CRYAB CRYA2 HSPB5,,PhasePDB,False
P02545,Prelamin-A/C,LMNA LMN1,,PhasePDB,False
P04150,Glucocorticoid receptor,NR3C1 GRL,Transcriptional condensate,PhasePDB,False
P05067,Amyloid-beta precursor protein,APP A4 AD1,"Cell membrane; Single- pass type I membrane protein; Membrane; Single- pass type I membrane protein; Perikaryon; Cell projection, growth cone; Membrane, clathrin-coated pit; Early endosome; Cytoplasmic vesicle.",LLPSDB+PhasePDB,True
P06241,Tyrosine-protein kinase Fyn,FYN,Stress granule,LLPSDB+PhasePDB,False
P06401,Progesterone receptor,PGR NR3C3,Nuclear body; Transcriptional condensate,PhasePDB,False
P06730,Eukaryotic translation initiation factor 4E,EIF4E EIF4EL1 EIF4F,Inclusion body; Stress granule,PhasePDB,False
P07766,T-cell surface glycoprotein CD3 epsilon chain,CD3E T3E,,PhasePDB,True
P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET CDHF12 CDHR16 PTC,,PhasePDB,True
P08247,Synaptophysin,SYP,,PhasePDB,True
P08670,Vimentin,VIM,,PhasePDB,False
P11021,Endoplasmic reticulum chaperone BiP,HSPA5 GRP78,Anisosome,PhasePDB,False
P16401,Histone H1.5,H1-5 H1F5 HIST1H1B,,PhasePDB,False
P16403,Histone H1.2,H1-2 H1F2 HIST1H1C,,PhasePDB,False
P18615,Negative elongation factor E,NELFE RD RDBP,Transcriptional condensate,PhasePDB,False
P18887,DNA repair protein XRCC1,XRCC1,,PhasePDB,False
P19338,Nucleolin,NCL,Nuclear stress body; Nucleolus,PhasePDB,False
P19474,E3 ubiquitin-protein ligase TRIM21,TRIM21 RNF81 RO52 SSA1,Stress granule,PhasePDB,False
P19532,Transcription factor E3,TFE3 BHLHE33,Transcriptional condensate,PhasePDB,False
P20226,TATA-box-binding protein,TBP GTF2D1 TF2D TFIID,Transcriptional condensate,PhasePDB,False
P26599,Polypyrimidine tract-binding protein 1,PTBP1 PTB,Nucleus.,LLPSDB+PhasePDB,False
P27695,DNA repair nuclease/redox regulator APEX1,APEX1 APE APE1 APEX APX HAP1 REF1,Nucleolus; Stress granule,PhasePDB,False
P28347,Transcriptional enhancer factor TEF-1,TEAD1 TCF13 TEF1,Transcriptional condensate,PhasePDB,False
P30622,CAP-Gly domain-containing linker protein 1,CLIP1 CYLN1 RSN,,PhasePDB,False
P35658,Nuclear pore complex protein Nup214,NUP214 CAIN CAN KIAA0023,Cytoplasmic Nucleoporin Granule; Nuclear body; Nuclear pore complex,PhasePDB,False
P38398,Breast cancer type 1 susceptibility protein,BRCA1 RNF53,DNA damage foci,PhasePDB,False
P38432,Coilin,COIL CLN80,Cajal body,PhasePDB,False
P42566,Epidermal growth factor receptor substrate 15,EPS15 AF1P,,PhasePDB,False
P42768,Actin nucleation-promoting factor WAS,WAS IMD2,Nuclear speckle,PhasePDB,False
P43351,DNA repair protein RAD52 homolog,RAD52,PML nuclear body,PhasePDB,False
P46934,E3 ubiquitin-protein ligase NEDD4,NEDD4 KIAA0093 NEDD4-1 RPF1,,PhasePDB,False
P49116,Nuclear receptor subfamily 2 group C member 2,NR2C2 TAK1 TR4,SARS-CoV-2 N condensate; Stress granule,PhasePDB,False
P49841,Glycogen synthase kinase-3 beta,GSK3B,Centrosome; Destruction complex condensate,PhasePDB,False
P49959,Double-strand break repair protein MRE11,MRE11 HNGS1 MRE11A,,PhasePDB,False
P51532,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4,SMARCA4 BAF190A BRG1 SNF2B SNF2L4,,PhasePDB,False
P51610,Host cell factor 1,HCFC1 HCF1 HFC1,Transcriptional condensate,PhasePDB,False
P54274,Telomeric repeat-binding factor 1,TERF1 PIN2 TRBF1 TRF TRF1,Heterochromatin; PML nuclear body,PhasePDB,False
P54727,UV excision repair protein RAD23 homolog B,RAD23B,Proteasome containing foci,PhasePDB,False
P55036,26S proteasome non-ATPase regulatory subunit 4,PSMD4 MCB1,Proteasome containing foci,PhasePDB,False
P55854,Small ubiquitin-related modifier 3,SUMO3 SMT3A SMT3H1,PML nuclear body,LLPSDB+PhasePDB,False
P61956,Small ubiquitin-related modifier 2,SUMO2 SMT3B SMT3H2,PML nuclear body,PhasePDB,False
P61964,WD repeat-containing protein 5,WDR5 BIG3,Inclusion body,PhasePDB,False
P62424,Large ribosomal subunit protein eL8,RPL7A SURF-3 SURF3,DNA damage foci,PhasePDB,False
P62491,Ras-related protein Rab-11A,RAB11A RAB11,,PhasePDB,False
P62633,CCHC-type zinc finger nucleic acid binding protein,CNBP RNF163 ZNF9,,PhasePDB,False
P63165,Small ubiquitin-related modifier 1,SUMO1 SMT3C SMT3H3 UBL1,,PhasePDB,False
P63279,SUMO-conjugating enzyme UBC9,UBE2I UBC9 UBCE9,Stress granule,PhasePDB,False
P78364,Polyhomeotic-like protein 1,PHC1 EDR1 PH1,Nuclear body,PhasePDB,False
P84022,Mothers against decapentaplegic homolog 3,SMAD3 MADH3,Transcriptional condensate,PhasePDB,False
Q00059,"Transcription factor A, mitochondrial",TFAM TCF6 TCF6L2,Mitochondrial nucleoid,PhasePDB,False
Q03111,Protein ENL,MLLT1 ENL LTG19 YEATS1,Elongation complex; Transcriptional condensate,PhasePDB,False
Q04206,Transcription factor p65,RELA NFKB3,Inclusion body,PhasePDB,False
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",KHDRBS1 SAM68,,PhasePDB,False
Q08050,Forkhead box protein M1,FOXM1 FKHL16 HFH11 MPP2 WIN,Transcriptional condensate,PhasePDB,False
Q08345,Epithelial discoidin domain-containing receptor 1,DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,,PhasePDB,True
Q08379,Golgin subfamily A member 2,GOLGA2,Golgin condensate,PhasePDB,False
Q12988,Heat shock protein beta-3,HSPB3 HSP27 HSPL27,,PhasePDB,False
Q13415,Origin recognition complex subunit 1,ORC1 ORC1L PARC1,Heterochromatin; Nuclear body,PhasePDB,False
Q13950,Runt-related transcription factor 2,RUNX2 AML3 CBFA1 OSF2 PEBP2A,Transcriptional condensate,PhasePDB,False
Q14247,Src substrate cortactin,CTTN EMS1,,PhasePDB,False
Q14694,Ubiquitin carboxyl-terminal hydrolase 10,USP10 KIAA0190,Stress granule,PhasePDB,False
Q15007,Pre-mRNA-splicing regulator WTAP,WTAP KIAA0105,Nuclear speckle,PhasePDB,False
Q15059,Bromodomain-containing protein 3,BRD3 KIAA0043 RING3L,Transcriptional condensate,PhasePDB,False
Q15154,Pericentriolar material 1 protein,PCM1,Centrosome; Pericentriolar matrix,PhasePDB,False
Q16082,Heat shock protein beta-2,HSPB2,Nuclear body,PhasePDB,False
Q16204,Coiled-coil domain-containing protein 6,CCDC6 D10S170 TST1,,PhasePDB,False
Q16236,Nuclear factor erythroid 2-related factor 2,NFE2L2 NRF2,Mediator condensate; p62 cluster,PhasePDB,False
Q16273,,FUS-CHOP,,PhasePDB,False
Q17RY0,Cytoplasmic polyadenylation element-binding protein 4,CPEB4 KIAA1673,,PhasePDB,False
Q4G0J3,La-related protein 7,LARP7,Elongation complex; Nucleolus,PhasePDB,False
Q6UVJ0,Spindle assembly abnormal protein 6 homolog,SASS6 SAS6,Centrosome,PhasePDB,False
Q86YR5,G-protein-signaling modulator 1,GPSM1 AGS3,Inclusion body; P-body; Stress granule,PhasePDB,False
Q8IU60,m7GpppN-mRNA hydrolase,DCP2 NUDT20,P-body; Stress granule,PhasePDB,False
Q8IX03,Protein KIBRA,WWC1 KIAA0869 KIBRA,,PhasePDB,False
Q8N114,Protein shisa-5,SHISA5 SCOTIN,,PhasePDB,True
Q92734,Protein TFG,TFG,,PhasePDB,False
Q92793,CREB-binding protein,CREBBP CBP,,PhasePDB,False
Q92973,Transportin-1,TNPO1 KPNB2 MIP1 TRN,Stress granule,LLPSDB+PhasePDB,False
Q92985,Interferon regulatory factor 7,IRF7,,PhasePDB,False
Q96B01,RAD51-associated protein 1,RAD51AP1 PIR51,,PhasePDB,False
Q96MT8,Centrosomal protein of 63 kDa,CEP63,Centrosome; Pericentriolar matrix,PhasePDB,False
Q96MU7,YTH domain-containing protein 1,YTHDC1 KIAA1966 YT521,Nuclear speckle; Transcriptional condensate,PhasePDB,False
