UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane
Q14149,MORC family CW-type zinc finger protein 3,MORC3 KIAA0136 NXP2 ZCWCC3,,PhasePDB,False
Q14152,Eukaryotic translation initiation factor 3 subunit A,EIF3A EIF3S10 KIAA0139,Stress granule,PhasePDB,False
Q14207,Protein NPAT,NPAT CAND3 E14,Histone locus body,PhasePDB,False
Q14258,E3 ubiquitin/ISG15 ligase TRIM25,TRIM25 EFP RNF147 ZNF147,Stress granule,PhasePDB,False
Q14498,RNA-binding protein 39,RBM39 HCC1 RNPC2,Nuclear stress body,PhasePDB,False
Q14671,Pumilio homolog 1,PUM1 KIAA0099 PUMH1,NORAD-PUM body; Stress granule,PhasePDB,False
Q14676,Mediator of DNA damage checkpoint protein 1,MDC1 KIAA0170 NFBD1,DNA damage foci,PhasePDB,False
Q14678,KN motif and ankyrin repeat domain-containing protein 1,KANK1 ANKRD15 KANK KIAA0172,,PhasePDB,False
Q14684,Ribosomal RNA processing protein 1 homolog B,RRP1B KIAA0179,Heterochromatin,PhasePDB,False
Q14814,Myocyte-specific enhancer factor 2D,MEF2D,,PhasePDB,False
Q14974,Importin subunit beta-1,KPNB1 NTF97,Cytoplasm;Nucleus envelope.,LLPSDB+PhasePDB,False
Q14978,Nucleolar and coiled-body phosphoprotein 1,NOLC1 KIAA0035 NS5ATP13,Cajal body; Nucleolus,PhasePDB,False
Q14BN4,Sarcolemmal membrane-associated protein,SLMAP KIAA1601 SLAP,,PhasePDB,True
Q15022,Polycomb protein SUZ12,SUZ12 CHET9 JJAZ1 KIAA0160,,PhasePDB,False
Q15029,116 kDa U5 small nuclear ribonucleoprotein component,EFTUD2 KIAA0031 SNRP116,Cajal body,PhasePDB,False
Q15287,RNA-binding protein with serine-rich domain 1,RNPS1 LDC2,,PhasePDB,False
Q15303,Receptor tyrosine-protein kinase erbB-4,ERBB4 HER4,,PhasePDB,True
Q15424,Scaffold attachment factor B1,SAFB HAP HET SAFB1,Nuclear stress body,PhasePDB,False
Q15436,Protein transport protein Sec23A,SEC23A,,PhasePDB,False
Q15466,Nuclear receptor subfamily 0 group B member 2,NR0B2 SHP,,PhasePDB,False
Q15468,SCL-interrupting locus protein,STIL SIL,Centrosome,PhasePDB,False
Q15596,Nuclear receptor coactivator 2,NCOA2 BHLHE75 SRC2 TIF2,PML nuclear body,PhasePDB,False
Q15643,Thyroid receptor-interacting protein 11,TRIP11 CEV14,Golgin condensate,PhasePDB,False
Q15652,Probable JmjC domain-containing histone demethylation protein 2C,JMJD1C JHDM2C KIAA1380 TRIP8,,PhasePDB,False
Q15672,Twist-related protein 1,TWIST1 BHLHA38 TWIST,,PhasePDB,False
Q15717,ELAV-like protein 1,ELAVL1 HUR,Mesh-like condensate,PhasePDB,False
Q15744,CCAAT/enhancer-binding protein epsilon,CEBPE,,PhasePDB,False
Q15788,Nuclear receptor coactivator 1,NCOA1 BHLHE74 SRC1,,PhasePDB,False
Q15796,Mothers against decapentaplegic homolog 2,SMAD2 MADH2 MADR2,,PhasePDB,False
Q15910,Histone-lysine N-methyltransferase EZH2,EZH2 KMT6,Nuclear body,PhasePDB,False
Q16046,,H-RAS,,PhasePDB,False
Q16143,Beta-synuclein,SNCB,,PhasePDB,False
Q16629,Serine/arginine-rich splicing factor 7,SRSF7 SFRS7,Nuclear speckle,PhasePDB,False
Q16635,Tafazzin,TAFAZZIN EFE2 G4.5 TAZ,Z granule,PhasePDB,True
Q16665,Hypoxia-inducible factor 1-alpha,HIF1A BHLHE78 MOP1 PASD8,,PhasePDB,False
Q32NB8,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",PGS1,,PhasePDB,False
Q3KP66,Innate immunity activator protein,INAVA C1orf106,,PhasePDB,False
Q495M9,pre-mRNA splicing regulator USH1G,USH1G SANS,Receptor cluster,PhasePDB,False
Q4G0F5,Vacuolar protein sorting-associated protein 26B,VPS26B,P-body,PhasePDB,False
Q4VCS5,Angiomotin,AMOT KIAA1071,,PhasePDB,False
Q53ET0,CREB-regulated transcription coactivator 2,CRTC2 TORC2,Transcriptional condensate,PhasePDB,False
Q53GS7,mRNA export factor GLE1,GLE1 GLE1L,,PhasePDB,False
Q53GS9,Ubiquitin carboxyl-terminal hydrolase 39,USP39,Nucleolus,PhasePDB,False
Q58A45,PAN2-PAN3 deadenylation complex subunit PAN3,PAN3,Stress granule,PhasePDB,False
Q5FBB7,Shugoshin 1,SGO1 SGOL1,"Nucleus; Chromosome, centromere; Chromosome, centromere, kinetochore; Cytoplasm, cytoskeleton, spindle pole; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome.",LLPSDB+PhasePDB,False
Q5JR59,Microtubule-associated tumor suppressor candidate 2,MTUS2 CAZIP KIAA0774 TIP150,,PhasePDB,False
Q5T1M5,FK506-binding protein 15,FKBP15 KIAA0674,,PhasePDB,False
Q5T481,RNA-binding protein 20,RBM20,Nuclear speckle; Stress granule,PhasePDB,False
Q5T6F2,Ubiquitin-associated protein 2,UBAP2 KIAA1491,Purinosome,PhasePDB,False
Q5UEC7,,MLL/EB1,Spindle apparatus,PhasePDB,False
Q5UIP0,Telomere-associated protein RIF1,RIF1,,PhasePDB,False
Q6LD62,,14-3-3 protein cytosolic phospholipase A2,,PhasePDB,False
Q6NTE8,MRN complex-interacting protein,MRNIP C5orf45,DNA damage foci,PhasePDB,False
Q6NUN9,Zinc finger protein 746,ZNF746 PARIS,,PhasePDB,False
Q6P6C2,RNA demethylase ALKBH5,ALKBH5 ABH5 OFOXD1,Paraspeckle,PhasePDB,False
Q6PD62,RNA polymerase-associated protein CTR9 homolog,CTR9 KIAA0155 SH2BP1,Transcriptional condensate,PhasePDB,False
Q6PIF6,Unconventional myosin-VIIb,MYO7B,Receptor cluster,PhasePDB,False
Q6SZW1,NAD(+) hydrolase SARM1,SARM1 KIAA0524 SAMD2 SARM,,PhasePDB,False
Q6UWE0,E3 ubiquitin-protein ligase LRSAM1,LRSAM1 TAL,Stress granule,PhasePDB,False
Q6WCQ1,Myosin phosphatase Rho-interacting protein,MPRIP KIAA0864 MRIP RHOIP3,Nuclear speckle,PhasePDB,False
Q6ZMT4,Lysine-specific demethylase 7A,KDM7A JHDM1D KDM7 KIAA1718,,PhasePDB,False
Q6ZN16,Mitogen-activated protein kinase kinase kinase 15,MAP3K15 ASK3,,PhasePDB,False
Q6ZUJ4,Uncharacterized protein C3orf62,C3orf62,,PhasePDB,False
Q70E73,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1,,PhasePDB,False
Q71DI3,Histone H3.2,H3C15 HIST2H3A,,PhasePDB,False
Q7KZ85,Transcription elongation factor SPT6,SUPT6H KIAA0162 SPT6H,Transcriptional condensate,PhasePDB,False
Q7KZF4,Staphylococcal nuclease domain-containing protein 1,SND1 TDRD11,,PhasePDB,False
Q7Z333,Probable helicase senataxin,SETX ALS4 KIAA0625 SCAR1,,PhasePDB,False
Q7Z3C6,Autophagy-related protein 9A,ATG9A APG9L1,FIP200 puncta,PhasePDB,True
Q7Z3E1,Protein mono-ADP-ribosyltransferase TIPARP,TIPARP PARP7,Nuclear body,PhasePDB,False
Q7Z417,FMR1-interacting protein NUFIP2,NUFIP2 KIAA1321,Nuclear pore complex; Stress granule,PhasePDB,False
Q7Z5P4,17-beta-hydroxysteroid dehydrogenase 13,HSD17B13 SCDR9 SDR16C3,,PhasePDB,False
Q7Z5Q1,Cytoplasmic polyadenylation element-binding protein 2,CPEB2,,PhasePDB,False
Q7Z6E9,E3 ubiquitin-protein ligase RBBP6,RBBP6 P2PR PACT RBQ1,Nuclear speckle,PhasePDB,False
Q86U86,Protein polybromo-1,PBRM1 BAF180 PB1,,PhasePDB,False
Q86VP1,Tax1-binding protein 1,TAX1BP1 T6BP,,PhasePDB,False
Q86WV6,Stimulator of interferon genes protein,STING1 ERIS MITA STING TMEM173,,PhasePDB,True
Q86XR8,Centrosomal protein of 57 kDa,CEP57 KIAA0092 TSP57,Centrosome,PhasePDB,False
Q86Y26,NUT family member 1,NUTM1 C15orf55 NUT,,PhasePDB,False
Q86YM7,Homer protein homolog 1,HOMER1 SYN47,,PhasePDB,False
Q8IU81,Interferon regulatory factor 2-binding protein 1,IRF2BP1,Cajal body,PhasePDB,False
Q8IUD2,ELKS/Rab6-interacting/CAST family member 1,ERC1 ELKS KIAA1081 RAB6IP2,ELKS condensate; Receptor cluster,PhasePDB,False
Q8IWJ2,GRIP and coiled-coil domain-containing protein 2,GCC2 KIAA0336 RANBP2L4,Golgin condensate,PhasePDB,False
Q8IXH7,Negative elongation factor C/D,NELFCD NELFD TH1 TH1L,Transcriptional condensate,PhasePDB,False
Q8IXJ9,Polycomb group protein ASXL1,ASXL1 KIAA0978,Paraspeckle,PhasePDB,False
Q8IXK0,Polyhomeotic-like protein 2,PHC2 EDR2 PH2,Nuclear body,PhasePDB,False
Q8IY92,Structure-specific endonuclease subunit SLX4,SLX4 BTBD12 KIAA1784 KIAA1987,PML nuclear body,PhasePDB,False
Q8IYT8,Serine/threonine-protein kinase ULK2,ULK2 KIAA0623,,PhasePDB,False
Q8IZA3,Histone H1.8,H1-8 H1FOO H1OO OSH1,Heterochromatin,PhasePDB,False
Q8IZH1,,SS18/SSX1 fusion,,PhasePDB,False
Q8IZT6,Abnormal spindle-like microcephaly-associated protein,ASPM MCPH5,Transcriptional condensate,PhasePDB,False
Q8N0X7,Spartin,SPART KIAA0610 SPG20 TAHCCP1,,PhasePDB,False
Q8N302,Angiogenic factor with G patch and FHA domains 1,AGGF1 GPATC7 GPATCH7 VG5Q,Paraspeckle,PhasePDB,False
Q8N5C8,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,TAB3 MAP3K7IP3,,PhasePDB,False
Q8N726,Tumor suppressor ARF,CDKN2A CDKN2 MLM,Nucleolus,PhasePDB,False
Q8N8E3,Centrosomal protein of 112 kDa,CEP112 CCDC46,,PhasePDB,False
Q8NB46,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52,,PhasePDB,False
Q8NC56,LEM domain-containing protein 2,LEMD2,,PhasePDB,True
Q8NCB2,CaM kinase-like vesicle-associated protein,CAMKV,,PhasePDB,False
Q8ND24,RING finger protein 214,RNF214,,PhasePDB,False
Q8NDF8,Terminal nucleotidyltransferase 4B,TENT4B GLD4 PAPD5 TRF4-2 TUT3,Amyloid body; Nucleolus,PhasePDB,False
Q8NDX5,Polyhomeotic-like protein 3,PHC3 EDR3 PH3,Nuclear body,PhasePDB,False
Q8NE35,Cytoplasmic polyadenylation element-binding protein 3,CPEB3 KIAA0940,Neuronal granule; P-body,PhasePDB,False
Q8NFU5,Inositol polyphosphate multikinase,IPMK IMPK,,PhasePDB,False
Q8NFZ5,TNFAIP3-interacting protein 2,TNIP2 ABIN2 FLIP1,SINT-speckle,PhasePDB,False
Q8NHQ8,Ras association domain-containing protein 8,RASSF8 C12orf2,,PhasePDB,False
Q8NI35,InaD-like protein,PATJ CIPP INADL,,PhasePDB,False
Q8TAQ2,SWI/SNF complex subunit SMARCC2,SMARCC2 BAF170,,PhasePDB,False
Q8TB72,Pumilio homolog 2,PUM2 KIAA0235 PUMH2,NORAD-PUM body; Stress granule,PhasePDB,False
Q8TC71,Mitochondria-eating protein,SPATA18 MIEAP,,PhasePDB,False
Q8TCF1,AN1-type zinc finger protein 1,ZFAND1,Stress granule,PhasePDB,False
Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",PNPT1 PNPASE,,PhasePDB,False
Q8TD16,Protein bicaudal D homolog 2,BICD2 KIAA0699,Centrosome,PhasePDB,False
Q8TEM1,Nuclear pore membrane glycoprotein 210,NUP210 KIAA0906,Cytoplasmic Nucleoporin Granule; Nuclear pore complex,PhasePDB,True
Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,PTPMT1 MOSP PLIP,,PhasePDB,False
Q8WUM0,Nuclear pore complex protein Nup133,NUP133,Nuclear pore complex,PhasePDB,False
Q8WUM4,Programmed cell death 6-interacting protein,PDCD6IP AIP1 ALIX KIAA1375,Abscission checkpoint body,PhasePDB,False
Q8WV28,B-cell linker protein,BLNK BASH SLP65,,PhasePDB,False
Q8WVC0,RNA polymerase-associated protein LEO1,LEO1 RDL,Transcriptional condensate,PhasePDB,False
Q8WXG9,Adhesion G-protein coupled receptor V1,ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1,,PhasePDB,True
Q92522,Histone H1.10,H1-10 H1FX,,PhasePDB,False
Q92570,Nuclear receptor subfamily 4 group A member 3,NR4A3 CHN CSMF MINOR NOR1 TEC,,PhasePDB,False
Q92576,PHD finger protein 3,PHF3 KIAA0244,,PhasePDB,False
Q92646,Histone H2A,H2A/k,,PhasePDB,False
Q92668,,K-ras,,PhasePDB,False
Q92777,Synapsin-2,SYN2,"Cell junction, synapse.",LLPSDB+PhasePDB,False
Q92794,Histone acetyltransferase KAT6A,KAT6A MOZ MYST3 RUNXBP2 ZNF220,KAT6A droplet,PhasePDB,False
Q92805,Golgin subfamily A member 1,GOLGA1,Golgin condensate,PhasePDB,False
Q92830,Histone acetyltransferase KAT2A,KAT2A GCN5 GCN5L2,SINT-speckle,PhasePDB,False
Q92878,DNA repair protein RAD50,RAD50,,PhasePDB,False
Q92879,CUGBP Elav-like family member 1,CELF1 BRUNOL2 CUGBP CUGBP1 NAB50,P-body; Stress granule,PhasePDB,False
Q92934,Bcl2-associated agonist of cell death,BAD BBC6 BCL2L8,,PhasePDB,False
Q92993,Histone acetyltransferase KAT5,KAT5 HTATIP TIP60,,PhasePDB,False
Q92997,Segment polarity protein dishevelled homolog DVL-3,DVL3 KIAA0208,Centrosome,PhasePDB,False
Q93074,Mediator of RNA polymerase II transcription subunit 12,MED12 ARC240 CAGH45 HOPA KIAA0192 TNRC11 TRAP230,Nuclear stress body; Transcriptional condensate,PhasePDB,False
Q969Q1,E3 ubiquitin-protein ligase TRIM63,TRIM63 IRF MURF1 RNF28 SMRZ,,PhasePDB,False
