Predictor,Scenario,AUROC_full,AUROC_clean,AUROC_global,MaxMCC_full,MaxMCC_clean,MaxMCC_global,Delta_AUROC,CI_lo,CI_hi,N_pos_full,N_pos_clean,N_pos_global
PLAAC,Membrane vs membrane background,0.618,0.618,0.661,0.124,0.124,0.025,0.0,0.545,0.695,60,60,4
PLAAC,Membrane vs single-pass background,0.563,0.563,0.583,0.165,0.165,0.032,0.0,0.483,0.637,60,60,4
PLAAC,Membrane vs multi-pass background,0.663,0.663,0.725,0.149,0.149,0.04,0.0,0.58,0.738,60,60,4
ESpritz,Membrane vs proteome background,0.489,0.489,0.488,0.007,0.007,0.009,0.0,0.431,0.549,60,60,4
ESpritz,Membrane vs membrane background,0.577,0.577,0.596,0.041,0.041,0.025,0.0,0.508,0.642,60,60,4
ESpritz,Membrane vs single-pass background,0.539,0.539,0.548,0.04,0.04,0.031,0.0,0.477,0.605,60,60,4
ESpritz,Membrane vs multi-pass background,0.608,0.608,0.635,0.115,0.115,0.039,0.0,0.541,0.672,60,60,4
SEG,Membrane vs proteome background,0.511,0.511,0.303,0.013,0.013,0.002,0.0,0.452,0.585,60,60,4
SEG,Membrane vs membrane background,0.481,0.481,0.244,0.027,0.027,0.0,0.0,0.407,0.56,60,60,4
SEG,Membrane vs single-pass background,0.475,0.475,0.239,0.031,0.031,0.0,0.0,0.394,0.553,60,60,4
SEG,Membrane vs multi-pass background,0.485,0.485,0.248,0.042,0.042,0.0,0.0,0.407,0.565,60,60,4
