uniprot_id,protein_name,gene_names,organism,source
Q7Z417,FMR1-interacting protein NUFIP2,NUFIP2 KIAA1321,Homo sapiens,phasepdb
Q7Z5P4,17-beta-hydroxysteroid dehydrogenase 13,HSD17B13 SCDR9 SDR16C3,Homo sapiens,phasepdb
Q7Z5Q1,Cytoplasmic polyadenylation element-binding protein 2,CPEB2,Homo sapiens,phasepdb
Q7Z6E9,E3 ubiquitin-protein ligase RBBP6,RBBP6 P2PR PACT RBQ1,Homo sapiens,phasepdb
Q86U86,Protein polybromo-1,PBRM1 BAF180 PB1,Homo sapiens,phasepdb
Q86VP1,Tax1-binding protein 1,TAX1BP1 T6BP,Homo sapiens,phasepdb
Q86WV6,Stimulator of interferon genes protein,STING1 ERIS MITA STING TMEM173,Homo sapiens,phasepdb
Q86XR8,Centrosomal protein of 57 kDa,CEP57 KIAA0092 TSP57,Homo sapiens,phasepdb
Q86Y26,NUT family member 1,NUTM1 C15orf55 NUT,Homo sapiens,phasepdb
Q86YM7,Homer protein homolog 1,HOMER1 SYN47,Homo sapiens,phasepdb
Q8IU81,Interferon regulatory factor 2-binding protein 1,IRF2BP1,Homo sapiens,phasepdb
Q8IUD2,ELKS/Rab6-interacting/CAST family member 1,ERC1 ELKS KIAA1081 RAB6IP2,Homo sapiens,phasepdb
Q8IWJ2,GRIP and coiled-coil domain-containing protein 2,GCC2 KIAA0336 RANBP2L4,Homo sapiens,phasepdb
Q8IXH7,Negative elongation factor C/D,NELFCD NELFD TH1 TH1L,Homo sapiens,phasepdb
Q8IXJ9,Polycomb group protein ASXL1,ASXL1 KIAA0978,Homo sapiens,phasepdb
Q8IXK0,Polyhomeotic-like protein 2,PHC2 EDR2 PH2,Homo sapiens,phasepdb
Q8IY92,Structure-specific endonuclease subunit SLX4,SLX4 BTBD12 KIAA1784 KIAA1987,Homo sapiens,phasepdb
Q8IYT8,Serine/threonine-protein kinase ULK2,ULK2 KIAA0623,Homo sapiens,phasepdb
Q8IZA3,Histone H1.8,H1-8 H1FOO H1OO OSH1,Homo sapiens,phasepdb
Q8IZH1,,SS18/SSX1 fusion,Homo sapiens,phasepdb
Q8IZT6,Abnormal spindle-like microcephaly-associated protein,ASPM MCPH5,Homo sapiens,phasepdb
Q8N0X7,Spartin,SPART KIAA0610 SPG20 TAHCCP1,Homo sapiens,phasepdb
Q8N302,Angiogenic factor with G patch and FHA domains 1,AGGF1 GPATC7 GPATCH7 VG5Q,Homo sapiens,phasepdb
Q8N5C8,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,TAB3 MAP3K7IP3,Homo sapiens,phasepdb
Q8N726,Tumor suppressor ARF,CDKN2A CDKN2 MLM,Homo sapiens,phasepdb
Q8N8E3,Centrosomal protein of 112 kDa,CEP112 CCDC46,Homo sapiens,phasepdb
Q8NB46,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52,Homo sapiens,phasepdb
Q8NC56,LEM domain-containing protein 2,LEMD2,Homo sapiens,phasepdb
Q8NCB2,CaM kinase-like vesicle-associated protein,CAMKV,Homo sapiens,phasepdb
Q8ND24,RING finger protein 214,RNF214,Homo sapiens,phasepdb
Q8NDF8,Terminal nucleotidyltransferase 4B,TENT4B GLD4 PAPD5 TRF4-2 TUT3,Homo sapiens,phasepdb
Q8NDX5,Polyhomeotic-like protein 3,PHC3 EDR3 PH3,Homo sapiens,phasepdb
Q8NE35,Cytoplasmic polyadenylation element-binding protein 3,CPEB3 KIAA0940,Homo sapiens,phasepdb
Q8NFU5,Inositol polyphosphate multikinase,IPMK IMPK,Homo sapiens,phasepdb
Q8NFZ5,TNFAIP3-interacting protein 2,TNIP2 ABIN2 FLIP1,Homo sapiens,phasepdb
Q8NHQ8,Ras association domain-containing protein 8,RASSF8 C12orf2,Homo sapiens,phasepdb
Q8NI35,InaD-like protein,PATJ CIPP INADL,Homo sapiens,phasepdb
Q8TAQ2,SWI/SNF complex subunit SMARCC2,SMARCC2 BAF170,Homo sapiens,phasepdb
Q8TB72,Pumilio homolog 2,PUM2 KIAA0235 PUMH2,Homo sapiens,phasepdb
Q8TC71,Mitochondria-eating protein,SPATA18 MIEAP,Homo sapiens,phasepdb
Q8TCF1,AN1-type zinc finger protein 1,ZFAND1,Homo sapiens,phasepdb
Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",PNPT1 PNPASE,Homo sapiens,phasepdb
Q8TD16,Protein bicaudal D homolog 2,BICD2 KIAA0699,Homo sapiens,phasepdb
Q8TEM1,Nuclear pore membrane glycoprotein 210,NUP210 KIAA0906,Homo sapiens,phasepdb
Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,PTPMT1 MOSP PLIP,Homo sapiens,phasepdb
Q8WUM0,Nuclear pore complex protein Nup133,NUP133,Homo sapiens,phasepdb
Q8WUM4,Programmed cell death 6-interacting protein,PDCD6IP AIP1 ALIX KIAA1375,Homo sapiens,phasepdb
Q8WV28,B-cell linker protein,BLNK BASH SLP65,Homo sapiens,phasepdb
Q8WVC0,RNA polymerase-associated protein LEO1,LEO1 RDL,Homo sapiens,phasepdb
Q8WXG9,Adhesion G-protein coupled receptor V1,ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1,Homo sapiens,phasepdb
Q92522,Histone H1.10,H1-10 H1FX,Homo sapiens,phasepdb
Q92570,Nuclear receptor subfamily 4 group A member 3,NR4A3 CHN CSMF MINOR NOR1 TEC,Homo sapiens,phasepdb
Q92576,PHD finger protein 3,PHF3 KIAA0244,Homo sapiens,phasepdb
Q92646,Histone H2A,H2A/k,Homo sapiens,phasepdb
Q92668,,K-ras,Homo sapiens,phasepdb
Q92777,Synapsin-2,SYN2,Homo sapiens,phasepdb
Q92794,Histone acetyltransferase KAT6A,KAT6A MOZ MYST3 RUNXBP2 ZNF220,Homo sapiens,phasepdb
Q92805,Golgin subfamily A member 1,GOLGA1,Homo sapiens,phasepdb
Q92830,Histone acetyltransferase KAT2A,KAT2A GCN5 GCN5L2,Homo sapiens,phasepdb
Q92878,DNA repair protein RAD50,RAD50,Homo sapiens,phasepdb
Q92879,CUGBP Elav-like family member 1,CELF1 BRUNOL2 CUGBP CUGBP1 NAB50,Homo sapiens,phasepdb
Q92934,Bcl2-associated agonist of cell death,BAD BBC6 BCL2L8,Homo sapiens,phasepdb
Q92993,Histone acetyltransferase KAT5,KAT5 HTATIP TIP60,Homo sapiens,phasepdb
Q92997,Segment polarity protein dishevelled homolog DVL-3,DVL3 KIAA0208,Homo sapiens,phasepdb
Q93074,Mediator of RNA polymerase II transcription subunit 12,MED12 ARC240 CAGH45 HOPA KIAA0192 TNRC11 TRAP230,Homo sapiens,phasepdb
Q969Q1,E3 ubiquitin-protein ligase TRIM63,TRIM63 IRF MURF1 RNF28 SMRZ,Homo sapiens,phasepdb
Q96AC1,Fermitin family homolog 2,FERMT2 KIND2 MIG2 PLEKHC1,Homo sapiens,phasepdb
Q96AH0,SOSS complex subunit B2,NABP1 OBFC2A SSB2,Homo sapiens,phasepdb
Q96B36,Proline-rich AKT1 substrate 1,AKT1S1 PRAS40,Homo sapiens,phasepdb
Q96B97,SH3 domain-containing kinase-binding protein 1,SH3KBP1 CIN85,Homo sapiens,phasepdb
Q96BW9,"Phosphatidate cytidylyltransferase, mitochondrial",TAMM41 C3orf31,Homo sapiens,phasepdb
Q96BY2,Modulator of apoptosis 1,MOAP1 PNMA4,Homo sapiens,phasepdb
Q96C19,EF-hand domain-containing protein D2,EFHD2 SWS1,Homo sapiens,phasepdb
Q96CF2,Charged multivesicular body protein 4c,CHMP4C SHAX3,Homo sapiens,phasepdb
Q96CN9,GRIP and coiled-coil domain-containing protein 1,GCC1,Homo sapiens,phasepdb
Q96CV9,Optineurin,OPTN FIP2 GLC1E HIP7 HYPL NRP,Homo sapiens,phasepdb
Q96GD4,Aurora kinase B,AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5,Homo sapiens,phasepdb
Q96GM5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,SMARCD1 BAF60A,Homo sapiens,phasepdb
Q96I24,Far upstream element-binding protein 3,FUBP3 FBP3,Homo sapiens,phasepdb
Q96J02,E3 ubiquitin-protein ligase Itchy homolog,ITCH,Homo sapiens,phasepdb
Q96JG9,Zinc finger protein 469,ZNF469 KIAA1858,Homo sapiens,phasepdb
