uniprot_id,protein_name,gene_names,organism,source
P35637,RNA-binding protein FUS,FUS TLS,Homo sapiens,phasepdb
Q13148,TAR DNA-binding protein 43,TARDBP TDP43,Homo sapiens,phasepdb
Q13283,Ras GTPase-activating protein-binding protein 1,G3BP1 G3BP,Homo sapiens,phasepdb
P10636,Microtubule-associated protein tau,MAPT MAPTL MTBT1 TAU,Homo sapiens,phasepdb
P09651,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1 HNRPA1,Homo sapiens,phasepdb
P06748,Nucleophosmin,NPM1 NPM,Homo sapiens,phasepdb
Q13501,Sequestosome-1,SQSTM1 ORCA OSIL,Homo sapiens,phasepdb
P37840,Alpha-synuclein,SNCA NACP PARK1,Homo sapiens,phasepdb
O60885,Bromodomain-containing protein 4,BRD4 HUNK1,Homo sapiens,phasepdb
P45973,Chromobox protein homolog 5,CBX5 HP1A,Homo sapiens,phasepdb
P31483,Cytotoxic granule associated RNA binding protein TIA1,TIA1,Homo sapiens,phasepdb
P46937,Transcriptional coactivator YAP1,YAP1 YAP65,Homo sapiens,phasepdb
Q01844,RNA-binding protein EWS,EWSR1 EWS,Homo sapiens,phasepdb
Q15648,Mediator of RNA polymerase II transcription subunit 1,MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A,Homo sapiens,phasepdb
Q92804,TATA-binding protein-associated factor 2N,TAF15 RBP56 TAF2N,Homo sapiens,phasepdb
Q9NQI0,Probable ATP-dependent RNA helicase DDX4,DDX4 VASA,Homo sapiens,phasepdb
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1 HNRPA2B1,Homo sapiens,phasepdb
P24928,DNA-directed RNA polymerase II subunit RPB1,POLR2A POLR2,Homo sapiens,phasepdb
P52948,Nuclear pore complex protein Nup98-Nup96,NUP98 ADAR2,Homo sapiens,phasepdb
P04637,Cellular tumor antigen p53,TP53 P53,Homo sapiens,phasepdb
Q14444,Caprin-1,CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105,Homo sapiens,phasepdb
O15169,Axin-1,AXIN1 AXIN,Homo sapiens,phasepdb
P29590,Protein PML,PML MYL PP8675 RNF71 TRIM19,Homo sapiens,phasepdb
Q9UHD9,Ubiquilin-2,UBQLN2 N4BP4 PLIC2,Homo sapiens,phasepdb
Q9UN86,Ras GTPase-activating protein-binding protein 2,G3BP2 KIAA0660,Homo sapiens,phasepdb
P22087,rRNA 2'-O-methyltransferase fibrillarin,FBL FIB1 FLRN,Homo sapiens,phasepdb
P23246,"Splicing factor, proline- and glutamine-rich",SFPQ PSF,Homo sapiens,phasepdb
Q09472,Histone acetyltransferase p300,EP300 P300,Homo sapiens,phasepdb
Q12888,TP53-binding protein 1,TP53BP1,Homo sapiens,phasepdb
Q15233,Non-POU domain-containing octamer-binding protein,NONO NRB54,Homo sapiens,phasepdb
Q8N884,Cyclic GMP-AMP synthase,CGAS C6orf150 MB21D1,Homo sapiens,phasepdb
O00571,ATP-dependent RNA helicase DDX3X,DDX3X DBX DDX3,Homo sapiens,phasepdb
O14641,Segment polarity protein dishevelled homolog DVL-2,DVL2,Homo sapiens,phasepdb
O60563,Cyclin-T1,CCNT1,Homo sapiens,phasepdb
Q9GZV5,WW domain-containing transcription regulator protein 1,WWTR1 TAZ,Homo sapiens,phasepdb
O43561,Linker for activation of T-cells family member 1,LAT,Homo sapiens,phasepdb
P10275,Androgen receptor,AR DHTR NR3C4,Homo sapiens,phasepdb
Q06787,Fragile X messenger ribonucleoprotein 1,FMR1,Homo sapiens,phasepdb
Q13185,Chromobox protein homolog 3,CBX3,Homo sapiens,phasepdb
O00401,Actin nucleation-promoting factor WASL,WASL,Homo sapiens,phasepdb
P17600,Synapsin-1,SYN1,Homo sapiens,phasepdb
P50995,Annexin A11,ANXA11 ANX11,Homo sapiens,phasepdb
P67809,Y-box-binding protein 1,YBX1 NSEP1 YB1,Homo sapiens,phasepdb
Q16630,Cleavage and polyadenylation specificity factor subunit 6,CPSF6 CFIM68,Homo sapiens,phasepdb
Q9BYJ9,YTH domain-containing family protein 1,YTHDF1 C20orf21,Homo sapiens,phasepdb
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1,IGF2BP1 CRDBP VICKZ1 ZBP1,Homo sapiens,phasepdb
Q9Y5A9,YTH domain-containing family protein 2,YTHDF2 HGRG8,Homo sapiens,phasepdb
P00441,Superoxide dismutase [Cu-Zn],SOD1,Homo sapiens,phasepdb
P04156,Major prion protein,PRNP ALTPRP PRIP PRP,Homo sapiens,phasepdb
P16333,SH2/SH3 adapter protein NCK1,NCK1 NCK,Homo sapiens,phasepdb
P35222,Catenin beta-1,CTNNB1 CTNNB,Homo sapiens,phasepdb
P42858,Huntingtin,HTT HD IT15,Homo sapiens,phasepdb
P62993,Growth factor receptor-bound protein 2,GRB2 ASH,Homo sapiens,phasepdb
Q00613,Heat shock factor protein 1,HSF1 HSTF1,Homo sapiens,phasepdb
Q01130,Serine/arginine-rich splicing factor 2,SRSF2 SFRS2,Homo sapiens,phasepdb
Q8WXF1,Paraspeckle component 1,PSPC1 PSP1,Homo sapiens,phasepdb
O60500,Nephrin,NPHS1 NPHN,Homo sapiens,phasepdb
P00533,Epidermal growth factor receptor,EGFR ERBB ERBB1 HER1,Homo sapiens,phasepdb
P11940,Polyadenylate-binding protein 1,PABPC1 PAB1 PABP PABP1 PABPC2,Homo sapiens,phasepdb
P26196,Probable ATP-dependent RNA helicase DDX6,DDX6 HLR2 RCK,Homo sapiens,phasepdb
P46013,Proliferation marker protein Ki-67,MKI67,Homo sapiens,phasepdb
P78352,Disks large homolog 4,DLG4 PSD95,Homo sapiens,phasepdb
Q07889,Son of sevenless homolog 1,SOS1,Homo sapiens,phasepdb
Q07955,Serine/arginine-rich splicing factor 1,SRSF1 ASF SF2 SF2P33 SFRS1,Homo sapiens,phasepdb
Q14011,Cold-inducible RNA-binding protein,CIRBP A18HNRNP CIRP,Homo sapiens,phasepdb
Q14653,Interferon regulatory factor 3,IRF3,Homo sapiens,phasepdb
Q15691,Microtubule-associated protein RP/EB family member 1,MAPRE1,Homo sapiens,phasepdb
Q7Z739,YTH domain-containing family protein 3,YTHDF3,Homo sapiens,phasepdb
Q8TDY2,RB1-inducible coiled-coil protein 1,RB1CC1 KIAA0203 RBICC,Homo sapiens,phasepdb
Q9UQ35,Serine/arginine repetitive matrix protein 2,SRRM2 KIAA0324 SRL300 SRM300,Homo sapiens,phasepdb
O14497,AT-rich interactive domain-containing protein 1A,ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,Homo sapiens,phasepdb
O43781,Dual specificity tyrosine-phosphorylation-regulated kinase 3,DYRK3,Homo sapiens,phasepdb
P03372,Estrogen receptor,ESR1 ESR NR3A1,Homo sapiens,phasepdb
P09874,Poly [ADP-ribose] polymerase 1,PARP1 ADPRT PPOL,Homo sapiens,phasepdb
P17931,Galectin-3,LGALS3 MAC2,Homo sapiens,phasepdb
P20591,Interferon-induced GTP-binding protein Mx1,MX1,Homo sapiens,phasepdb
P25490,Transcriptional repressor protein YY1,YY1 INO80S,Homo sapiens,phasepdb
P51114,RNA-binding protein FXR1,FXR1,Homo sapiens,phasepdb
P51608,Methyl-CpG-binding protein 2,MECP2,Homo sapiens,phasepdb
P54132,RecQ-like DNA helicase BLM,BLM RECQ2 RECQL3,Homo sapiens,phasepdb
P61978,Heterogeneous nuclear ribonucleoprotein K,HNRNPK HNRPK,Homo sapiens,phasepdb
P62805,Histone H4,H4C1 H4/A H4FA HIST1H4A,Homo sapiens,phasepdb
P83916,Chromobox protein homolog 1,CBX1 CBX,Homo sapiens,phasepdb
Q01085,Nucleolysin TIAR,TIAL1,Homo sapiens,phasepdb
Q07157,Tight junction protein 1,TJP1 ZO1,Homo sapiens,phasepdb
Q14596,Next to BRCA1 gene 1 protein,NBR1 1A13B KIAA0049 M17S2,Homo sapiens,phasepdb
Q14781,Chromobox protein homolog 2,CBX2,Homo sapiens,phasepdb
Q15532,Protein SSXT,SS18 SSXT SYT,Homo sapiens,phasepdb
Q15561,Transcriptional enhancer factor TEF-3,TEAD4 RTEF1 TCF13L1 TEF3,Homo sapiens,phasepdb
Q16198,,EWS-Fli1,Homo sapiens,phasepdb
Q16637,Survival motor neuron protein,SMN1 SMN SMNT,Homo sapiens,phasepdb
Q86U44,N(6)-adenosine-methyltransferase catalytic subunit METTL3,METTL3 MTA70,Homo sapiens,phasepdb
Q8IYB3,Serine/arginine repetitive matrix protein 1,SRRM1 SRM160,Homo sapiens,phasepdb
Q8NFD5,AT-rich interactive domain-containing protein 1B,ARID1B BAF250B DAN15 KIAA1235 OSA2,Homo sapiens,phasepdb
Q99700,Ataxin-2,ATXN2 ATX2 SCA2 TNRC13,Homo sapiens,phasepdb
Q9BYB0,SH3 and multiple ankyrin repeat domains protein 3,SHANK3 KIAA1650 PROSAP2 PSAP2,Homo sapiens,phasepdb
Q9NR30,Nucleolar RNA helicase 2,DDX21,Homo sapiens,phasepdb
Q9UER7,Death domain-associated protein 6,DAXX BING2 DAP6,Homo sapiens,phasepdb
Q9UKV8,Protein argonaute-2,AGO2 EIF2C2,Homo sapiens,phasepdb
Q9Y6M1,Insulin-like growth factor 2 mRNA-binding protein 2,IGF2BP2 IMP2 VICKZ2,Homo sapiens,phasepdb
J7MA22,Tyrosine-protein kinase receptor,EML4-ALK,Homo sapiens,phasepdb
O00444,Serine/threonine-protein kinase PLK4,PLK4 SAK STK18,Homo sapiens,phasepdb
O43670,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207 BUGZ,Homo sapiens,phasepdb
O43809,Cleavage and polyadenylation specificity factor subunit 5,NUDT21 CFIM25 CPSF25 CPSF5,Homo sapiens,phasepdb
O43823,A-kinase anchor protein 8,AKAP8 AKAP95,Homo sapiens,phasepdb
O60341,Lysine-specific histone demethylase 1A,KDM1A AOF2 KDM1 KIAA0601 LSD1,Homo sapiens,phasepdb
O75683,Surfeit locus protein 6,SURF6 SURF-6,Homo sapiens,phasepdb
O95243,Methyl-CpG-binding domain protein 4,MBD4 MED1,Homo sapiens,phasepdb
P01106,Myc proto-oncogene protein,MYC BHLHE39,Homo sapiens,phasepdb
P02794,Ferritin heavy chain,FTH1 FTH FTHL6,Homo sapiens,phasepdb
P04792,Heat shock protein beta-1,HSPB1 HSP27 HSP28,Homo sapiens,phasepdb
P08621,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,Homo sapiens,phasepdb
P0DMV8,Heat shock 70 kDa protein 1A,HSPA1A HSP72 HSPA1 HSX70,Homo sapiens,phasepdb
P10412,Histone H1.4,H1-4 H1F4 HIST1H1E,Homo sapiens,phasepdb
P18583,Protein SON,SON C21orf50 DBP5 KIAA1019 NREBP,Homo sapiens,phasepdb
P19484,Transcription factor EB,TFEB BHLHE35,Homo sapiens,phasepdb
P25054,Adenomatous polyposis coli protein,APC DP2.5,Homo sapiens,phasepdb
P35226,Polycomb complex protein BMI-1,BMI1 PCGF4 RNF51,Homo sapiens,phasepdb
P35240,Merlin,NF2 SCH,Homo sapiens,phasepdb
P37198,Nuclear pore glycoprotein p62,NUP62,Homo sapiens,phasepdb
P43243,Matrin-3,MATR3 KIAA0723,Homo sapiens,phasepdb
P48431,Transcription factor SOX-2,SOX2,Homo sapiens,phasepdb
P49715,CCAAT/enhancer-binding protein alpha,CEBPA CEBP,Homo sapiens,phasepdb
P50552,Vasodilator-stimulated phosphoprotein,VASP,Homo sapiens,phasepdb
P55072,Transitional endoplasmic reticulum ATPase,VCP HEL-220 HEL-S-70,Homo sapiens,phasepdb
P55884,Eukaryotic translation initiation factor 3 subunit B,EIF3B EIF3S9,Homo sapiens,phasepdb
P60008,Putative histone H1.9,H1-9P H1-9 HILS1,Homo sapiens,phasepdb
Q04637,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1 EIF4F EIF4G EIF4GI,Homo sapiens,phasepdb
Q05086,Ubiquitin-protein ligase E3A,UBE3A E6AP EPVE6AP HPVE6A,Homo sapiens,phasepdb
Q06124,Tyrosine-protein phosphatase non-receptor type 11,PTPN11 PTP2C SHPTP2,Homo sapiens,phasepdb
Q13772,Nuclear receptor coactivator 4,NCOA4 ARA70 ELE1 RFG,Homo sapiens,phasepdb
Q14157,Ubiquitin-associated protein 2-like,UBAP2L KIAA0144 NICE4,Homo sapiens,phasepdb
Q15554,Telomeric repeat-binding factor 2,TERF2 TRBF2 TRF2,Homo sapiens,phasepdb
Q53HL2,Borealin,CDCA8 PESCRG3,Homo sapiens,phasepdb
Q7Z434,Mitochondrial antiviral-signaling protein,MAVS IPS1 KIAA1271 VISA,Homo sapiens,phasepdb
Q86U42,Polyadenylate-binding protein 2,PABPN1 PAB2 PABP2,Homo sapiens,phasepdb
Q8NC51,SERPINE1 mRNA-binding protein 1,SERBP1 PAIRBP1,Homo sapiens,phasepdb
Q8ND56,Protein LSM14 homolog A,LSM14A C19orf13 FAM61A RAP55 RAP55A,Homo sapiens,phasepdb
Q8WWM7,Ataxin-2-like protein,ATXN2L A2D A2LG A2LP A2RP,Homo sapiens,phasepdb
Q92547,DNA topoisomerase 2-binding protein 1,TOPBP1 KIAA0259,Homo sapiens,phasepdb
Q96LT7,Guanine nucleotide exchange factor C9orf72,C9orf72 DENND9 DENNL72,Homo sapiens,phasepdb
Q96PK6,RNA-binding protein 14,RBM14 SIP,Homo sapiens,phasepdb
Q96PV0,Ras/Rap GTPase-activating protein SynGAP,SYNGAP1 KIAA1938,Homo sapiens,phasepdb
Q99873,Protein arginine N-methyltransferase 1,PRMT1 HMT2 HRMT1L2 IR1B4,Homo sapiens,phasepdb
Q9H3P2,Negative elongation factor A,NELFA WHSC2,Homo sapiens,phasepdb
Q9NPI6,mRNA-decapping enzyme 1A,DCP1A SMIF,Homo sapiens,phasepdb
Q9UJW0,Dynactin subunit 4,DCTN4,Homo sapiens,phasepdb
Q9UN81,LINE-1 retrotransposable element ORF1 protein,L1RE1 LRE1,Homo sapiens,phasepdb
Q9Y6K9,NF-kappa-B essential modulator,IKBKG FIP3 NEMO,Homo sapiens,phasepdb
O00257,E3 SUMO-protein ligase CBX4,CBX4,Homo sapiens,phasepdb
O00425,Insulin-like growth factor 2 mRNA-binding protein 3,IGF2BP3 IMP3 KOC1 VICKZ3,Homo sapiens,phasepdb
O14686,Histone-lysine N-methyltransferase 2D,KMT2D ALR MLL2 MLL4,Homo sapiens,phasepdb
O15392,Baculoviral IAP repeat-containing protein 5,BIRC5 API4 IAP4,Homo sapiens,phasepdb
O15523,ATP-dependent RNA helicase DDX3Y,DDX3Y DBY,Homo sapiens,phasepdb
O43245,,p65,Homo sapiens,phasepdb
O43463,Histone-lysine N-methyltransferase SUV39H1,SUV39H1 KMT1A SUV39H,Homo sapiens,phasepdb
O43791,Speckle-type POZ protein,SPOP,Homo sapiens,phasepdb
O60832,H/ACA ribonucleoprotein complex subunit DKC1,DKC1 NOLA4,Homo sapiens,phasepdb
O75334,Liprin-alpha-2,PPFIA2,Homo sapiens,phasepdb
O75385,Serine/threonine-protein kinase ULK1,ULK1 KIAA0722,Homo sapiens,phasepdb
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1 IRE1,Homo sapiens,phasepdb
O94986,Centrosomal protein of 152 kDa,CEP152 KIAA0912,Homo sapiens,phasepdb
O95398,Rap guanine nucleotide exchange factor 3,RAPGEF3 CGEF1 EPAC EPAC1,Homo sapiens,phasepdb
O95835,Serine/threonine-protein kinase LATS1,LATS1 WARTS,Homo sapiens,phasepdb
O96028,Histone-lysine N-methyltransferase NSD2,NSD2 KIAA1090 MMSET TRX5 WHSC1,Homo sapiens,phasepdb
P02511,Alpha-crystallin B chain,CRYAB CRYA2 HSPB5,Homo sapiens,phasepdb
P02545,Prelamin-A/C,LMNA LMN1,Homo sapiens,phasepdb
P04150,Glucocorticoid receptor,NR3C1 GRL,Homo sapiens,phasepdb
P05067,Amyloid-beta precursor protein,APP A4 AD1,Homo sapiens,phasepdb
P06241,Tyrosine-protein kinase Fyn,FYN,Homo sapiens,phasepdb
P06401,Progesterone receptor,PGR NR3C3,Homo sapiens,phasepdb
P06730,Eukaryotic translation initiation factor 4E,EIF4E EIF4EL1 EIF4F,Homo sapiens,phasepdb
P07766,T-cell surface glycoprotein CD3 epsilon chain,CD3E T3E,Homo sapiens,phasepdb
P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET CDHF12 CDHR16 PTC,Homo sapiens,phasepdb
P08247,Synaptophysin,SYP,Homo sapiens,phasepdb
P08670,Vimentin,VIM,Homo sapiens,phasepdb
P11021,Endoplasmic reticulum chaperone BiP,HSPA5 GRP78,Homo sapiens,phasepdb
P16401,Histone H1.5,H1-5 H1F5 HIST1H1B,Homo sapiens,phasepdb
P16403,Histone H1.2,H1-2 H1F2 HIST1H1C,Homo sapiens,phasepdb
P18615,Negative elongation factor E,NELFE RD RDBP,Homo sapiens,phasepdb
P18887,DNA repair protein XRCC1,XRCC1,Homo sapiens,phasepdb
P19338,Nucleolin,NCL,Homo sapiens,phasepdb
P19474,E3 ubiquitin-protein ligase TRIM21,TRIM21 RNF81 RO52 SSA1,Homo sapiens,phasepdb
P19532,Transcription factor E3,TFE3 BHLHE33,Homo sapiens,phasepdb
P20226,TATA-box-binding protein,TBP GTF2D1 TF2D TFIID,Homo sapiens,phasepdb
P26599,Polypyrimidine tract-binding protein 1,PTBP1 PTB,Homo sapiens,phasepdb
P27695,DNA repair nuclease/redox regulator APEX1,APEX1 APE APE1 APEX APX HAP1 REF1,Homo sapiens,phasepdb
P28347,Transcriptional enhancer factor TEF-1,TEAD1 TCF13 TEF1,Homo sapiens,phasepdb
P30622,CAP-Gly domain-containing linker protein 1,CLIP1 CYLN1 RSN,Homo sapiens,phasepdb
P35658,Nuclear pore complex protein Nup214,NUP214 CAIN CAN KIAA0023,Homo sapiens,phasepdb
P38398,Breast cancer type 1 susceptibility protein,BRCA1 RNF53,Homo sapiens,phasepdb
P38432,Coilin,COIL CLN80,Homo sapiens,phasepdb
P42566,Epidermal growth factor receptor substrate 15,EPS15 AF1P,Homo sapiens,phasepdb
P42768,Actin nucleation-promoting factor WAS,WAS IMD2,Homo sapiens,phasepdb
P43351,DNA repair protein RAD52 homolog,RAD52,Homo sapiens,phasepdb
P46934,E3 ubiquitin-protein ligase NEDD4,NEDD4 KIAA0093 NEDD4-1 RPF1,Homo sapiens,phasepdb
P49116,Nuclear receptor subfamily 2 group C member 2,NR2C2 TAK1 TR4,Homo sapiens,phasepdb
P49841,Glycogen synthase kinase-3 beta,GSK3B,Homo sapiens,phasepdb
P49959,Double-strand break repair protein MRE11,MRE11 HNGS1 MRE11A,Homo sapiens,phasepdb
P51532,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4,SMARCA4 BAF190A BRG1 SNF2B SNF2L4,Homo sapiens,phasepdb
P51610,Host cell factor 1,HCFC1 HCF1 HFC1,Homo sapiens,phasepdb
P54274,Telomeric repeat-binding factor 1,TERF1 PIN2 TRBF1 TRF TRF1,Homo sapiens,phasepdb
P54727,UV excision repair protein RAD23 homolog B,RAD23B,Homo sapiens,phasepdb
P55036,26S proteasome non-ATPase regulatory subunit 4,PSMD4 MCB1,Homo sapiens,phasepdb
P55854,Small ubiquitin-related modifier 3,SUMO3 SMT3A SMT3H1,Homo sapiens,phasepdb
P61956,Small ubiquitin-related modifier 2,SUMO2 SMT3B SMT3H2,Homo sapiens,phasepdb
P61964,WD repeat-containing protein 5,WDR5 BIG3,Homo sapiens,phasepdb
P62424,Large ribosomal subunit protein eL8,RPL7A SURF-3 SURF3,Homo sapiens,phasepdb
P62491,Ras-related protein Rab-11A,RAB11A RAB11,Homo sapiens,phasepdb
P62633,CCHC-type zinc finger nucleic acid binding protein,CNBP RNF163 ZNF9,Homo sapiens,phasepdb
P63165,Small ubiquitin-related modifier 1,SUMO1 SMT3C SMT3H3 UBL1,Homo sapiens,phasepdb
P63279,SUMO-conjugating enzyme UBC9,UBE2I UBC9 UBCE9,Homo sapiens,phasepdb
P78364,Polyhomeotic-like protein 1,PHC1 EDR1 PH1,Homo sapiens,phasepdb
P84022,Mothers against decapentaplegic homolog 3,SMAD3 MADH3,Homo sapiens,phasepdb
Q00059,"Transcription factor A, mitochondrial",TFAM TCF6 TCF6L2,Homo sapiens,phasepdb
Q03111,Protein ENL,MLLT1 ENL LTG19 YEATS1,Homo sapiens,phasepdb
Q04206,Transcription factor p65,RELA NFKB3,Homo sapiens,phasepdb
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",KHDRBS1 SAM68,Homo sapiens,phasepdb
Q08050,Forkhead box protein M1,FOXM1 FKHL16 HFH11 MPP2 WIN,Homo sapiens,phasepdb
Q08345,Epithelial discoidin domain-containing receptor 1,DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,Homo sapiens,phasepdb
Q08379,Golgin subfamily A member 2,GOLGA2,Homo sapiens,phasepdb
Q12988,Heat shock protein beta-3,HSPB3 HSP27 HSPL27,Homo sapiens,phasepdb
Q13415,Origin recognition complex subunit 1,ORC1 ORC1L PARC1,Homo sapiens,phasepdb
Q13950,Runt-related transcription factor 2,RUNX2 AML3 CBFA1 OSF2 PEBP2A,Homo sapiens,phasepdb
Q14247,Src substrate cortactin,CTTN EMS1,Homo sapiens,phasepdb
Q14694,Ubiquitin carboxyl-terminal hydrolase 10,USP10 KIAA0190,Homo sapiens,phasepdb
Q15007,Pre-mRNA-splicing regulator WTAP,WTAP KIAA0105,Homo sapiens,phasepdb
Q15059,Bromodomain-containing protein 3,BRD3 KIAA0043 RING3L,Homo sapiens,phasepdb
Q15154,Pericentriolar material 1 protein,PCM1,Homo sapiens,phasepdb
Q16082,Heat shock protein beta-2,HSPB2,Homo sapiens,phasepdb
Q16204,Coiled-coil domain-containing protein 6,CCDC6 D10S170 TST1,Homo sapiens,phasepdb
Q16236,Nuclear factor erythroid 2-related factor 2,NFE2L2 NRF2,Homo sapiens,phasepdb
Q16273,,FUS-CHOP,Homo sapiens,phasepdb
Q17RY0,Cytoplasmic polyadenylation element-binding protein 4,CPEB4 KIAA1673,Homo sapiens,phasepdb
Q4G0J3,La-related protein 7,LARP7,Homo sapiens,phasepdb
Q6UVJ0,Spindle assembly abnormal protein 6 homolog,SASS6 SAS6,Homo sapiens,phasepdb
Q86YR5,G-protein-signaling modulator 1,GPSM1 AGS3,Homo sapiens,phasepdb
Q8IU60,m7GpppN-mRNA hydrolase,DCP2 NUDT20,Homo sapiens,phasepdb
Q8IX03,Protein KIBRA,WWC1 KIAA0869 KIBRA,Homo sapiens,phasepdb
Q8N114,Protein shisa-5,SHISA5 SCOTIN,Homo sapiens,phasepdb
Q92734,Protein TFG,TFG,Homo sapiens,phasepdb
Q92793,CREB-binding protein,CREBBP CBP,Homo sapiens,phasepdb
Q92973,Transportin-1,TNPO1 KPNB2 MIP1 TRN,Homo sapiens,phasepdb
Q92985,Interferon regulatory factor 7,IRF7,Homo sapiens,phasepdb
Q96B01,RAD51-associated protein 1,RAD51AP1 PIR51,Homo sapiens,phasepdb
Q96MT8,Centrosomal protein of 63 kDa,CEP63,Homo sapiens,phasepdb
Q96MU7,YTH domain-containing protein 1,YTHDC1 KIAA1966 YT521,Homo sapiens,phasepdb
Q99496,E3 ubiquitin-protein ligase RING2,RNF2 BAP1 DING HIPI3 RING1B,Homo sapiens,phasepdb
Q9BW19,Kinesin-like protein KIFC1,KIFC1 HSET KNSL2,Homo sapiens,phasepdb
Q9BXT4,Tudor domain-containing protein 1,TDRD1,Homo sapiens,phasepdb
Q9GZQ8,Microtubule-associated protein 1 light chain 3 beta,MAP1LC3B MAP1ALC3,Homo sapiens,phasepdb
Q9H7E2,Tudor domain-containing protein 3,TDRD3,Homo sapiens,phasepdb
Q9HC35,Echinoderm microtubule-associated protein-like 4,EML4 C2orf2 EMAPL4,Homo sapiens,phasepdb
Q9HCE5,N(6)-adenosine-methyltransferase non-catalytic subunit METTL14,METTL14 KIAA1627,Homo sapiens,phasepdb
Q9NQS7,Inner centromere protein,INCENP,Homo sapiens,phasepdb
Q9NRM7,Serine/threonine-protein kinase LATS2,LATS2 KPM,Homo sapiens,phasepdb
Q9NRR5,Ubiquilin-4,UBQLN4 C1orf6 CIP75 UBIN,Homo sapiens,phasepdb
Q9NSC5,Homer protein homolog 3,HOMER3,Homo sapiens,phasepdb
Q9NVP1,ATP-dependent RNA helicase DDX18,DDX18 cPERP-D,Homo sapiens,phasepdb
Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1,TERF2IP DRIP5 RAP1,Homo sapiens,phasepdb
Q9UBN7,Protein deacetylase HDAC6,HDAC6 KIAA0901,Homo sapiens,phasepdb
Q9UHB7,AF4/FMR2 family member 4,AFF4 AF5Q31 MCEF,Homo sapiens,phasepdb
Q9UHD2,Serine/threonine-protein kinase TBK1,TBK1 NAK,Homo sapiens,phasepdb
Q9UJU2,Lymphoid enhancer-binding factor 1,LEF1,Homo sapiens,phasepdb
Q9UMX0,Ubiquilin-1,UBQLN1 DA41 PLIC1,Homo sapiens,phasepdb
Q9UPU9,Protein Smaug homolog 1,SAMD4A KIAA1053 SAMD4 SMAUG1,Homo sapiens,phasepdb
Q9Y4K3,TNF receptor-associated factor 6,TRAF6 RNF85,Homo sapiens,phasepdb
A0A286NGJ8,,,Homo sapiens,phasepdb
A0A2H4FYY8,receptor protein-tyrosine kinase,CCDC6-RET fusion,Homo sapiens,phasepdb
A0JLT2,Mediator of RNA polymerase II transcription subunit 19,MED19 LCMR1,Homo sapiens,phasepdb
A1L020,RNA-binding protein MEX3A,MEX3A RKHD4,Homo sapiens,phasepdb
A4D1B5,Gamma-secretase-activating protein,GSAP PION,Homo sapiens,phasepdb
A7MCY6,TANK-binding kinase 1-binding protein 1,TBKBP1 KIAA0775 SINTBAD,Homo sapiens,phasepdb
B1Q3L0,RING-type E3 ubiquitin transferase,TRIM5 TRIM5alpha,Homo sapiens,phasepdb
O00165,HCLS1-associated protein X-1,HAX1 HS1BP1,Homo sapiens,phasepdb
O00254,Proteinase-activated receptor 3,F2RL2 PAR3,Homo sapiens,phasepdb
O00267,Transcription elongation factor SPT5,SUPT5H SPT5 SPT5H,Homo sapiens,phasepdb
O00411,"DNA-directed RNA polymerase, mitochondrial",POLRMT,Homo sapiens,phasepdb
O00472,RNA polymerase II elongation factor ELL2,ELL2,Homo sapiens,phasepdb
O00541,Pescadillo homolog,PES1,Homo sapiens,phasepdb
O00560,Syntenin-1,SDCBP MDA9 SYCL,Homo sapiens,phasepdb
O14490,Disks large-associated protein 1,DLGAP1 DAP1 GKAP,Homo sapiens,phasepdb
O14526,F-BAR domain only protein 1,FCHO1 KIAA0290,Homo sapiens,phasepdb
O14607,Histone demethylase UTY,UTY KDM6C,Homo sapiens,phasepdb
O14639,Actin-binding LIM protein 1,ABLIM1 ABLIM KIAA0059 LIMAB1,Homo sapiens,phasepdb
O14746,Telomerase reverse transcriptase,TERT EST2 TCS1 TRT,Homo sapiens,phasepdb
O14763,Tumor necrosis factor receptor superfamily member 10B,TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9,Homo sapiens,phasepdb
O14773,Tripeptidyl-peptidase 1,TPP1 CLN2,Homo sapiens,phasepdb
O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB IKKB,Homo sapiens,phasepdb
O14933,Ubiquitin/ISG15-conjugating enzyme E2 L6,UBE2L6 UBCH8,Homo sapiens,phasepdb
O14936,Peripheral plasma membrane protein CASK,CASK LIN2,Homo sapiens,phasepdb
