Entry,Location_SL_IDs
O14974,SL-0086; SL-0501
Q01844,SL-0191; SL-0086; SL-0039
Q6Y7W6,
Q9Y6Q9,SL-0086; SL-0191
O43524,SL-0091; SL-0191; SL-0170; SL-0172
Q4LE39,SL-0191; SL-0086
Q5T011,SL-0157; SL-0204
Q6W2J9,SL-0191
Q8IWC1,SL-0251
Q96J92,SL-0265
P53814,SL-0090
Q70E73,SL-0039; SL-0291; SL-0286; SL-0090
P14859,SL-0191
Q8IXK0,SL-0191
Q14005,SL-0243; SL-0086; SL-0191
Q6ZRI6,SL-0086; SL-0191
Q8NDX5,SL-0191
Q9Y4E1,SL-0093; SL-0039
Q9BX66,SL-0009; SL-0039; SL-0090; SL-0118; SL-0191; SL-0181
Q7Z2K8,SL-0039; SL-0288
Q8N3D4,SL-0101
Q92610,SL-0191
Q86UU1,
Q96RV3,SL-0162
Q5EBL2,SL-0191
Q8WXD9,SL-0086
Q9UKJ3,
Q8IXZ3,SL-0191
A6NMS7,SL-0162
Q5TF21,SL-0162
A6NM11,SL-0162
O60309,SL-0162
P61129,
Q8IVF1,
Q5HYC2,SL-0191
Q5T0Z8,
Q8N7P7,
P25940,SL-0111; SL-0243
P37198,SL-0185; SL-0448; SL-0178; SL-0048
Q15735,SL-0086
Q53ET0,SL-0086; SL-0191
Q5JRA6,SL-0097
Q8IZC6,SL-0111
Q92794,SL-0191; SL-0188; SL-0190; SL-0465
Q96JJ6,SL-0039; SL-0097
Q9P2Y4,SL-0191
O94913,SL-0191
P43694,SL-0191
P78426,SL-0191
Q0VDD7,SL-0468
Q15788,SL-0191
Q5SXM2,SL-0191
Q6P1L5,
Q6ZU35,SL-0091
Q70EL1,
Q86VM9,SL-0191
Q86YN6,SL-0191
Q96QC0,SL-0191; SL-0468
Q96T23,SL-0191
O95104,SL-0191
P11831,SL-0191
P31249,SL-0191
P32242,SL-0191
Q12872,SL-0191
Q68D10,SL-0188
Q7Z5L9,SL-0086; SL-0191
Q9UI36,SL-0191
Q9ULX6,SL-0191; SL-0181; SL-0186; SL-0465; SL-0086
O94850,SL-0285; SL-0086; SL-0097; SL-0197; SL-0191
P09651,SL-0191; SL-0086
P55317,SL-0191
Q05925,SL-0191
Q2M3C7,SL-0086
Q6ZN18,SL-0191
Q86UU5,
Q8IVH2,SL-0191
Q8N307,SL-0243; SL-0015; SL-0026; SL-0294
Q8WY36,SL-0191
Q92908,SL-0191
Q9H0J4,SL-0182; SL-0191; SL-0086; SL-0117
Q9H9J4,
Q9NS56,SL-0191; SL-0465
O15055,SL-0191; SL-0086; SL-0198; SL-0188
P30414,SL-0039
Q13516,SL-0191; SL-0086
Q5H9F3,SL-0191
Q5T200,SL-0186; SL-0190
Q76N32,SL-0048
Q86X51,SL-0191; SL-0086
Q86XN8,SL-0086; SL-0191
Q8N3V7,SL-0090; SL-0265; SL-0197; SL-0284; SL-0297; SL-0258; SL-0091
Q92733,SL-0191
Q96B18,
Q9C0K0,SL-0191
Q9NRM1,SL-0111
Q9P270,SL-0090
Q9ULJ6,SL-0190; SL-0086; SL-0191
P78332,SL-0191
Q14031,SL-0025
Q9UPN6,SL-0191; SL-0181
P39880,SL-0191
P52594,SL-0191; SL-0088
Q4KMQ1,SL-0302; SL-0293; SL-0190; SL-0086
